"Modulo 1, Leccion 1",
Parte 1,12:08:36
Pedagogical Page Open Time,12:08:36
Pedagogical Page Close Time,12:08:39
Multiplechoice Page Open Time,12:08:39
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,12:08:59
Multiplechoice Page Close Time,12:09:03
Parte 2,12:09:03
Pedagogical Page Open Time,12:09:03
Pedagogical Page Close Time,12:09:05
Pedagogical2 Page Open Time,12:09:05
Playground Page Open,12:09:07
Playground Page Close,12:09:19
Pedagogical2 Page Close Time,12:09:20
Parte 3,12:09:20
Pedagogical Page Open Time,12:09:20
Playground Page Open,12:09:24
Playground Page Close,12:09:29
Pedagogical Page Close Time,12:09:30
Multiplechoice Page Open Time,12:09:30
Checkbox Selected: Falso,12:09:40
Checkbox Selected: Verdadero,12:09:54
Multiplechoice Page Close Time,12:09:55
Parte 4,12:09:55
Draganddrop Page Open Time,12:09:55
Incorrect Answer Selected: output(729),12:10:11
Correct Answer Selected: print(729),12:10:17
Draganddrop Page Close Time,12:10:18
Pedagogical Page Open Time,12:10:18
Playground Page Open,12:10:20
Playground Page Close,12:10:44
Pedagogical Page Close Time,12:10:45
Parte 5,12:10:45
Multiplechoice Page Open Time,12:10:45
Checkbox Selected: punto y coma ;,12:11:02
Checkbox Selected: barra inclinada /,12:11:05
Checkbox Selected: comillas '' ,12:11:11
Multiplechoice Page Close Time,12:11:15
Pedagogical Page Open Time,12:11:15
Playground Page Open,12:11:17
Playground Page Close,12:11:37
Pedagogical Page Close Time,12:11:38
Parte 6,12:11:38
Pedagogical Page Open Time,12:11:38
Pedagogical Page Close Time,12:11:40

"Modulo 1, Leccion 2",
Parte 1,12:11:48
Pedagogical Page Open Time,12:11:48
Pedagogical Page Close Time,12:11:50
Pedagogical2 Page Open Time,12:11:50
Playground Page Open,12:11:51
Playground Page Close,12:11:55
Pedagogical2 Page Close Time,12:11:56
Parte 2,12:11:56
Completeblankspace Page Open Time,12:11:56
Incorrect Answer Selected: *,12:12:03
Incorrect Answer Selected: *,12:12:03
Correct Answer Selected: +,12:12:07
Completeblankspace Page Close Time,12:12:08
Pedagogical Page Open Time,12:12:08
Pedagogical Page Close Time,12:12:08
Parte 3,12:12:08
Draganddrop Page Open Time,12:12:08
Incorrect Answer Selected: print(42 x 3),12:12:17
Correct Answer Selected: print(42 * 3),12:12:21
Draganddrop Page Close Time,12:12:22
Pedagogical Page Open Time,12:12:22
Playground Page Open,12:12:24
Pedagogical Page Close Time,12:12:26
Parte 4,12:12:26
Multiplechoice Page Open Time,12:12:26
Correct Answer Selected: 4.0,12:12:31
Multiplechoice Page Close Time,12:12:32
Pedagogical Page Open Time,12:12:32
Pedagogical Page Close Time,12:12:33
Parte 5,12:12:33
Draganddrop Page Open Time,12:12:33
Incorrect Answer Selected: Entero:<Espacio para respuesta>,12:12:37
Correct Answer Selected: Flotante:3.14,12:12:37
Correct Answer Selected: Entero:2,12:12:54
Correct Answer Selected: Flotante:3.14,12:12:54
Draganddrop Page Close Time,12:12:55
Pedagogical Page Open Time,12:12:55
Pedagogical Page Close Time,12:12:57
Parte 6,12:12:57
Pedagogical Page Open Time,12:12:57
Pedagogical Page Close Time,12:12:58
Pedagogical2 Page Open Time,12:12:58
Pedagogical2 Page Close Time,12:13:00
Parte 7,12:13:00
Pedagogical Page Open Time,12:13:00
Pedagogical Page Close Time,12:13:01

