"Modulo 1, Leccion 1",
Parte 1,16:26:29
Pedagogical Page Open Time,16:26:29
Pedagogical Page Close Time,16:28:07
Multiplechoice Page Open Time,16:28:07
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,16:28:30
Multiplechoice Page Close Time,16:28:38
Parte 2,16:28:38
Pedagogical Page Open Time,16:28:38
Pedagogical Page Close Time,16:29:11
Pedagogical2 Page Open Time,16:29:11
Pedagogical2 Page Close Time,16:30:12
Parte 3,16:30:12
Pedagogical Page Open Time,16:30:12
Playground Page Open,16:31:14
Playground Page Close,16:31:56
Pedagogical Page Close Time,16:32:47
Multiplechoice Page Open Time,16:32:47
Checkbox Selected: Verdadero,16:33:08
Multiplechoice Page Close Time,16:33:12
Parte 4,16:33:12
Draganddrop Page Open Time,16:33:12
Correct Answer Selected: print(729),16:34:08
Draganddrop Page Close Time,16:34:10
Pedagogical Page Open Time,16:34:10
Pedagogical Page Close Time,16:35:15
Parte 5,16:35:15
Multiplechoice Page Open Time,16:35:15
Checkbox Selected: comillas '' ,16:35:41
Multiplechoice Page Close Time,16:35:43
Pedagogical Page Open Time,16:35:43
Playground Page Open,16:36:12
Playground Page Close,16:38:15
Pedagogical Page Close Time,16:38:29
Parte 6,16:38:29
Pedagogical Page Open Time,16:38:29
Pedagogical Page Close Time,16:38:50

"Modulo 1, Leccion 2",
Parte 1,16:40:06
Pedagogical Page Open Time,16:40:06
Pedagogical Page Close Time,16:40:35
Pedagogical2 Page Open Time,16:40:35
Playground Page Open,16:40:51
Playground Page Close,16:41:54
Pedagogical2 Page Close Time,16:41:56
Parte 2,16:41:56
Completeblankspace Page Open Time,16:41:56
Correct Answer Selected: +,16:42:52
Completeblankspace Page Close Time,16:42:53
Pedagogical Page Open Time,16:42:53
Pedagogical Page Close Time,16:43:04
Parte 3,16:43:04
Draganddrop Page Open Time,16:43:04
Correct Answer Selected: print(42 * 3),16:43:23
Draganddrop Page Close Time,16:43:24
Pedagogical Page Open Time,16:43:24
Playground Page Open,16:44:05
Playground Page Close,16:44:36
Pedagogical Page Close Time,16:44:37
Parte 4,16:44:37
Multiplechoice Page Open Time,16:44:37
Correct Answer Selected: 4.0,16:44:48
Multiplechoice Page Close Time,16:44:50
Pedagogical Page Open Time,16:44:50
Pedagogical Page Close Time,16:44:57
Parte 5,16:44:57
Draganddrop Page Open Time,16:44:57
Correct Answer Selected: Entero:2,16:45:19
Correct Answer Selected: Flotante:3.14,16:45:19
Draganddrop Page Close Time,16:45:20
Pedagogical Page Open Time,16:45:20
Pedagogical Page Close Time,16:45:27
Parte 6,16:45:27
Pedagogical Page Open Time,16:45:27
Pedagogical Page Close Time,16:45:40
Pedagogical2 Page Open Time,16:45:40
Pedagogical2 Page Close Time,16:46:04
Parte 7,16:46:04
Pedagogical Page Open Time,16:46:04
Playground Page Open,16:46:31
Playground Page Close,16:47:33
Pedagogical Page Close Time,16:47:35

"Modulo 1, Leccion 3",
Parte 1,16:47:58
Pedagogical Page Open Time,16:47:58
Pedagogical Page Close Time,16:48:14
Pedagogical2 Page Open Time,16:48:14
Playground Page Open,16:48:24
Playground Page Close,16:48:58
Pedagogical2 Page Close Time,16:48:59
Parte 2,16:48:59
Multiplechoice Page Open Time,16:48:59
Checkbox Selected: 'Viernes',16:49:35
Checkbox Selected: 'The Lord of the Rings',16:49:35
Multiplechoice Page Close Time,16:49:36
Pedagogical Page Open Time,16:49:36
Pedagogical Page Close Time,16:49:54
Parte 3,16:49:54
Draganddrop Page Open Time,16:49:54
Correct Drop Event: Water,16:50:08
Correct Drop Event: +,16:50:08
Correct Drop Event: Park,16:50:08
Draganddrop Page Close Time,16:50:09
Pedagogical Page Open Time,16:50:09
Pedagogical Page Close Time,16:50:15
Parte 4,16:50:15
Multiplechoice Page Open Time,16:50:15
Checkbox Selected: '100',16:50:29
Checkbox Selected: 'Manzana',16:50:29
Multiplechoice Page Close Time,16:50:31
Draganddrop Page Open Time,16:50:31
Correct Answer Selected: 100,16:50:55
Correct Answer Selected: 100.00,16:50:55
Correct Answer Selected: 'cien',16:50:55
Draganddrop Page Close Time,16:50:57
Parte 5,16:50:57
Pedagogical Page Open Time,16:50:57
Pedagogical Page Close Time,16:51:07
Pedagogical2 Page Open Time,16:51:07
Pedagogical2 Page Close Time,16:51:11
Parte 6,16:51:11
Pedagogical Page Open Time,16:51:11
Playground Page Open,16:51:27
Playground Page Close,16:52:05
Pedagogical Page Close Time,16:52:06

"Modulo 1, Leccion 4",
Parte 1,16:55:35
Pedagogical Page Open Time,16:55:35
Pedagogical Page Close Time,16:56:08
Draganddrop Page Open Time,16:56:08
Correct Answer Selected: Entero,16:56:33
Correct Answer Selected: Flotante,16:56:33
Correct Answer Selected: Cadena,16:56:33
Draganddrop Page Close Time,16:56:34
Parte 2,16:56:34
Pedagogical Page Open Time,16:56:34
Playground Page Open,16:56:38
Playground Page Close,16:56:45
Playground Page Open,16:56:47
Playground Page Close,16:56:50
Pedagogical Page Close Time,16:56:52
Draganddrop Page Open Time,16:56:52
Correct Drop Event: print('Nosotros somos los campeones amigos'),16:57:12
Correct Drop Event: print('Y seguiremos luchando hasta el final'),16:57:12
Correct Drop Event: print('Somos los campeones'),16:57:12
Draganddrop Page Close Time,16:57:13
Parte 3,16:57:13
Pedagogical Page Open Time,16:57:13
Pedagogical Page Close Time,16:57:17
Completeblankspace Page Open Time,16:57:17
Correct Answer Selected: print,16:57:43
Completeblankspace Page Close Time,16:57:45
Parte 4,16:57:45
Pedagogical Page Open Time,16:57:45
Pedagogical Page Close Time,16:57:46
Draganddrop Page Open Time,16:57:46
Correct Answer Selected: sep,16:58:46
Correct Answer Selected: '-',16:58:46
Draganddrop Page Close Time,16:58:47
Parte 5,16:58:47
Pedagogical Page Open Time,16:58:47
Playground Page Open,16:58:51
Playground Page Close,16:59:07
Pedagogical Page Close Time,16:59:08
Draganddrop Page Open Time,16:59:08
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",16:59:29
