"Modulo 1, Leccion 1",
Parte 1,17:14:28
Pedagogical Page Open Time,17:14:28
Pedagogical Page Close Time,17:14:34
Multiplechoice Page Open Time,17:14:34
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:14:39
Multiplechoice Page Close Time,17:14:42
Parte 2,17:14:42
Pedagogical Page Open Time,17:14:42
Pedagogical Page Close Time,17:14:47
Pedagogical2 Page Open Time,17:14:47
Playground Page Open,17:14:48
Pedagogical2 Page Close Time,17:14:56
Parte 3,17:14:56
Pedagogical Page Open Time,17:14:56
Playground Page Open,17:14:57
Pedagogical Page Close Time,17:15:14
Multiplechoice Page Open Time,17:15:14
Checkbox Selected: Falso,17:15:18
Multiplechoice Page Close Time,17:15:31
Parte 4,17:15:31
Draganddrop Page Open Time,17:15:31
Checkbox Selected: Verdadero,17:15:31
Incorrect Answer Selected: run(729),17:15:35
Correct Answer Selected: print(729),17:15:43
Draganddrop Page Close Time,17:15:44
Pedagogical Page Open Time,17:15:44
Playground Page Open,17:15:46
Playground Page Close,17:15:49
Pedagogical Page Close Time,17:15:51
Parte 5,17:15:51
Multiplechoice Page Open Time,17:15:51
Checkbox Selected: punto y coma ;,17:15:56
Checkbox Selected: barra inclinada /,17:15:58
Multiplechoice Page Close Time,17:16:01
Pedagogical Page Open Time,17:16:01
Checkbox Selected: comillas '' ,17:16:01
Pedagogical Page Close Time,17:16:06
Parte 6,17:16:06
Pedagogical Page Open Time,17:16:06
Pedagogical Page Close Time,17:16:07

