"Modulo 1, Leccion 1",
Parte 1,15:28:51
Pedagogical Page Open Time,15:28:51
Pedagogical Page Close Time,15:28:57
Multiplechoice Page Open Time,15:28:57
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,15:29:07
Multiplechoice Page Close Time,15:29:08
Parte 2,15:29:08
Pedagogical Page Open Time,15:29:08
Pedagogical Page Close Time,15:29:10
Pedagogical2 Page Open Time,15:29:10
Playground Page Open,15:29:12
Playground Page Close,15:29:22
Pedagogical2 Page Close Time,15:29:24
Parte 3,15:29:24
Pedagogical Page Open Time,15:29:24
Playground Page Open,15:29:28
Playground Page Close,15:29:51
Pedagogical Page Close Time,15:29:53
Multiplechoice Page Open Time,15:29:53
Checkbox Selected: Falso,15:30:01
Checkbox Selected: Verdadero,15:30:06
Multiplechoice Page Close Time,15:30:07
Parte 4,15:30:08
Draganddrop Page Open Time,15:30:08
Correct Answer Selected: print(729),15:30:21
Draganddrop Page Close Time,15:30:23
Pedagogical Page Open Time,15:30:23
Playground Page Open,15:30:26
Playground Page Close,15:30:48
Pedagogical Page Close Tim15:30:49
Checkbox Selected: punto y coma ;,15:30:57
Checkbox Selected: barra inclinada /,15:31:01
Multiplechoice Page Close Time,15:31:12
Pedagogical Page Open Time,15:31:12
Checkbox Selected: comillas '' ,15:31:12
Playground Page Open,15:31:17
Pedagogical Page Close Time,15:30:49
Parte 5,15:30:49
Multiplechoice Page Open Time,e,15:31:45
Parte 6,15:31:45
Pedagogical Page Open Time,15:31:45
Pedagogical Page Close Time,15:31:47

