Click Time,Module,Lesson No.,Pedagogical No.,Time Difference (s),If Playground,If Question,Type of Question,No. of Correct Answ. Clicked,No. of Incorrect Answ. Clicked
2024-06-01 10:57:43,1,1,1,,0,0,0,0,0
2024-06-01 10:57:43,1,1,0,0.0,0,0,0,0,0
2024-06-01 10:57:55,1,1,0,12.0,0,0,0,0,0
2024-06-01 10:57:55,1,1,0,0.0,0,0,0,0,0
2024-06-01 10:58:10,1,1,0,15.0,0,1,mult,1,3
2024-06-01 10:58:15,1,1,0,5.0,0,1,mult,1,2
2024-06-01 10:58:16,1,1,0,1.0,0,1,mult,1,1
2024-06-01 10:58:16,1,2,1,0.0,0,1,mult,1,1
2024-06-01 10:58:16,1,2,0,0.0,0,0,0,0,0
2024-06-01 10:58:22,1,2,0,6.0,0,0,0,0,0
2024-06-01 10:58:22,1,2,0,0.0,0,0,0,0,0
2024-06-01 10:58:24,1,2,0,2.0,0,0,0,0,0
2024-06-01 10:58:35,1,2,0,11.0,1,0,0,0,0
2024-06-01 10:58:37,1,2,0,2.0,1,0,0,0,0
2024-06-01 10:58:37,1,3,1,0.0,0,0,0,0,0
2024-06-01 10:58:37,1,3,0,0.0,0,0,0,0,0
2024-06-01 10:58:42,1,3,0,5.0,0,0,0,0,0
2024-06-01 10:58:50,1,3,0,8.0,1,0,0,0,0
2024-06-01 10:58:52,1,3,0,2.0,1,0,0,0,0
2024-06-01 10:58:52,1,3,0,0.0,0,0,0,0,0
2024-06-01 10:58:57,1,3,0,5.0,0,1,mult,1,3
2024-06-01 10:59:01,1,3,0,4.0,0,1,mult,1,2
2024-06-01 10:59:02,1,3,0,1.0,0,1,mult,1,1
2024-06-01 10:59:02,1,4,0,0.0,0,1,mult,1,1
2024-06-01 10:59:02,1,4,0,0.0,0,0,0,0,0
2024-06-01 10:59:15,1,4,0,13.0,0,1,d&d,1,3
2024-06-01 10:59:24,1,4,0,9.0,0,1,d&d,1,2
2024-06-01 10:59:25,1,4,1,1.0,0,1,d&d,1,1
2024-06-01 10:59:25,1,4,0,0.0,0,1,d&d,1,1
2024-06-01 10:59:27,1,4,0,2.0,0,0,0,0,0
2024-06-01 10:59:50,1,4,0,23.0,1,0,0,0,0
2024-06-01 10:59:51,1,4,0,1.0,1,0,0,0,0
2024-06-01 10:59:51,1,5,0,0.0,0,0,0,0,0
2024-06-01 10:59:51,1,5,0,0.0,0,0,0,0,0
2024-06-01 11:00:07,1,5,0,16.0,0,1,mult,1,4
2024-06-01 11:00:10,1,5,0,3.0,0,1,mult,1,3
2024-06-01 11:00:20,1,5,0,10.0,0,1,mult,1,2
2024-06-01 11:00:21,1,5,1,1.0,0,1,mult,1,1
2024-06-01 11:00:21,1,5,0,0.0,0,1,mult,1,1
2024-06-01 11:00:24,1,5,0,3.0,0,0,0,0,0
2024-06-01 11:00:29,1,5,0,5.0,1,0,0,0,0
2024-06-01 11:00:30,1,5,0,1.0,1,0,0,0,0
2024-06-01 11:00:30,1,6,1,0.0,0,0,0,0,0
2024-06-01 11:00:30,1,6,0,0.0,0,0,0,0,0
2024-06-01 11:00:32,1,6,0,2.0,0,0,0,0,0
