"Modulo 1, Leccion 1",
Parte 1,14:05:00
Pedagogical Page Open Time,14:05:00
Pedagogical Page Close Time,14:05:03
Multiplechoice Page Open Time,14:05:03
Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,14:05:06
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,14:05:09
Multiplechoice Page Close Time,14:05:14
Parte 2,14:05:14
Pedagogical Page Open Time,14:05:14
Pedagogical Page Close Time,14:05:17
Pedagogical2 Page Open Time,14:05:17
Pedagogical2 Page Close Time,14:05:24
Parte 3,14:05:24
Pedagogical Page Open Time,14:05:24
Pedagogical Page Close Time,14:05:26
Multiplechoice Page Open Time,14:05:26
Checkbox Selected: Verdadero,14:05:29
Multiplechoice Page Close Time,14:05:33
Parte 4,14:05:33
Draganddrop Page Open Time,14:05:33
Correct Answer Selected: print(729),14:05:35
Draganddrop Page Close Time,14:05:37
Pedagogical Page Open Time,14:05:37
Pedagogical Page Close Time,14:05:37
Parte 5,14:05:37
Multiplechoice Page Open Time,14:05:37
Checkbox Selected: comillas '' ,14:05:48
Multiplechoice Page Close Time,14:05:49
Pedagogical Page Open Time,14:05:49
Pedagogical Page Close Time,14:05:52
Parte 6,14:05:52
Pedagogical Page Open Time,14:05:52
Pedagogical Page Close Time,14:05:53

