"Modulo 1, Leccion 1",
Parte 1,11:30:44
Pedagogical Page Open Time,11:30:44
Pedagogical Page Close Time,11:30:51
Multiplechoice Page Open Time,11:30:51
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,11:30:55
Multiplechoice Page Close Time,11:30:57
Parte 2,11:30:57
Pedagogical Page Open Time,11:30:57
Pedagogical Page Close Time,11:30:59
Pedagogical2 Page Open Time,11:30:59
Pedagogical2 Page Close Time,11:31:00
Parte 3,11:31:00
Pedagogical Page Open Time,11:31:00
Pedagogical Page Close Time,11:31:01
Multiplechoice Page Open Time,11:31:01
Checkbox Selected: Verdadero,11:31:04
Multiplechoice Page Close Time,11:31:05
Parte 4,11:31:05
Draganddrop Page Open Time,11:31:05
Correct Answer Selected: print(729),11:31:10
Draganddrop Page Close Time,11:31:11
Pedagogical Page Open Time,11:31:11
Pedagogical Page Close Time,11:31:12
Parte 5,11:31:12
Multiplechoice Page Open Time,11:31:12
Checkbox Selected: comillas '' ,11:31:15
Multiplechoice Page Close Time,11:31:16
Pedagogical Page Open Time,11:31:16
Pedagogical Page Close Time,11:31:17
Parte 6,11:31:17
Pedagogical Page Open Time,11:31:17
Pedagogical Page Close Time,11:31:18

"Modulo 1, Leccion 2",
Parte 1,11:31:34
Pedagogical Page Open Time,11:31:34
Pedagogical Page Close Time,11:31:36
Pedagogical2 Page Open Time,11:31:36
Pedagogical2 Page Close Time,11:31:37
Parte 2,11:31:37
Completeblankspace Page Open Time,11:31:37
Correct Answer Selected: +,11:31:44
Completeblankspace Page Close Time,11:31:45
Pedagogical Page Open Time,11:31:45
Pedagogical Page Close Time,11:31:46
Parte 3,11:31:46
Draganddrop Page Open Time,11:31:46
Correct Answer Selected: print(42 * 3),11:32:08
Draganddrop Page Close Time,11:32:09
Pedagogical Page Open Time,11:32:09
Pedagogical Page Close Time,11:32:09
Parte 4,11:32:09
Multiplechoice Page Open Time,11:32:09
Correct Answer Selected: 4.0,11:32:13
Multiplechoice Page Close Time,11:32:14
