"Modulo 1, Leccion 1",
Parte 1,09:18:10
Pedagogical Page Open Time,09:18:10
Pedagogical Page Close Time,09:18:12
Multiplechoice Page Open Time,09:18:12
Multiplechoice Page Close Time,09:18:14
Parte 2,09:18:14
Pedagogical Page Open Time,09:18:14
Parte 1,09:18:14
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:18:14
Pedagogical Page Close Time,09:18:17
Pedagogical2 Page Open Time,09:18:17
Pedagogical2 Page Close Time,09:18:18
Parte 3,09:18:18
Pedagogical Page Open Time,09:18:18
Pedagogical Page Close Time,09:18:18
Multiplechoice Page Open Time,09:18:18
Checkbox Selected: Verdadero,09:18:22
Multiplechoice Page Close Time,09:18:23
Parte 4,09:18:23
Draganddrop Page Open Time,09:18:23
Draganddrop Page Close Time,09:18:26
Pedagogical Page Open Time,09:18:26
Correct Answer Selected: print(729),09:18:26
Pedagogical Page Close Time,09:18:27
Parte 5,09:18:27
Multiplechoice Page Open Time,09:18:27
Checkbox Selected: comillas '' ,09:18:29
Multiplechoice Page Close Time,09:18:30
Pedagogical Page Open Time,09:18:30
Pedagogical Page Close Time,09:18:30
Parte 6,09:18:30
Pedagogical Page Open Time,09:18:30
Pedagogical Page Close Time,09:18:31

"Modulo 1, Leccion 2",
Parte 1,09:19:11
Pedagogical Page Open Time,09:19:11
Pedagogical Page Close Time,09:19:13
Pedagogical2 Page Open Time,09:19:13
Pedagogical2 Page Close Time,09:19:14
Parte 2,09:19:14
Completeblankspace Page Open Time,09:19:14
Completeblankspace Page Close Time,09:19:20
Pedagogical Page Open Time,09:19:20
Correct Answer Selected: +,09:19:20
Pedagogical Page Close Time,09:19:21
Parte 3,09:19:21
Draganddrop Page Open Time,09:19:21
Draganddrop Page Close Time,09:19:27
Correct Answer Selected: print(42 * 3),09:19:27
Pedagogical Page Open Time,09:19:28
Pedagogical Page Close Time,09:19:28
Parte 4,09:19:28
Multiplechoice Page Open Time,09:19:28
Multiplechoice Page Close Time,09:19:32
Pedagogical Page Open Time,09:19:32
Correct Answer Selected: 4.0,09:19:32
Pedagogical Page Close Time,09:19:33
Parte 5,09:19:33
Draganddrop Page Open Time,09:19:33
Correct Answer Selected: Entero:2,09:19:39
Correct Answer Selected: Flotante:3.14,09:19:39
Draganddrop Page Close Time,09:19:40
Pedagogical Page Open Time,09:19:40
Pedagogical Page Close Time,09:19:40
Parte 6,09:19:40
Pedagogical Page Open Time,09:19:40
Pedagogical Page Close Time,09:19:41
Pedagogical2 Page Open Time,09:19:41
Pedagogical2 Page Close Time,09:19:42
Parte 7,09:19:42
Pedagogical Page Open Time,09:19:42
Pedagogical Page Close Time,09:19:42

"Modulo 1, Leccion 3",
Parte 1,09:19:52
Pedagogical Page Open Time,09:19:52
Pedagogical Page Close Time,09:19:54
Pedagogical2 Page Open Time,09:19:54
Pedagogical2 Page Close Time,09:19:55
Parte 2,09:19:55
Multiplechoice Page Open Time,09:19:55
Checkbox Selected: 'Viernes',09:20:00
Checkbox Selected: 'The Lord of the Rings',09:20:00
Multiplechoice Page Close Time,09:20:01
Pedagogical Page Open Time,09:20:01
Pedagogical Page Close Time,09:20:01
Parte 3,09:20:01
Draganddrop Page Open Time,09:20:01
Correct Drop Event: Water,09:20:07
Correct Drop Event: +,09:20:07
Correct Drop Event: Park,09:20:07
Draganddrop Page Close Time,09:20:08
Pedagogical Page Open Time,09:20:08
Pedagogical Page Close Time,09:20:08
Parte 4,09:20:08
Multiplechoice Page Open Time,09:20:08
Multiplechoice Page Close Time,09:20:14
Draganddrop Page Open Time,09:20:14
Checkbox Selected: '100',09:20:14
Checkbox Selected: 'Manzana',09:20:14
Correct Answer Selected: 100,09:20:21
Correct Answer Selected: 100.00,09:20:21
Correct Answer Selected: 'cien',09:20:21
Draganddrop Page Close Time,09:20:22
Parte 5,09:20:22
Pedagogical Page Open Time,09:20:22
Pedagogical Page Close Time,09:20:22
Pedagogical2 Page Open Time,09:20:22
Pedagogical2 Page Close Time,09:20:23
Parte 6,09:20:23
Pedagogical Page Open Time,09:20:23
Pedagogical Page Close Time,09:20:24

"Modulo 1, Leccion 4",
Parte 1,09:20:30
Pedagogical Page Open Time,09:20:30
Pedagogical Page Close Time,09:20:32
Draganddrop Page Open Time,09:20:32
Draganddrop Page Close Time,09:20:40
Parte 2,09:20:40
Pedagogical Page Open Time,09:20:40
Correct Answer Selected: Entero,09:20:40
Correct Answer Selected: Flotante,09:20:40
Correct Answer Selected: Cadena,09:20:40
Pedagogical Page Close Time,09:20:41
Draganddrop Page Open Time,09:20:41
Draganddrop Page Close Time,09:20:51
Correct Drop Event: print('Nosotros somos los campeones amigos'),09:20:51
Correct Drop Event: print('Y seguiremos luchando hasta el final'),09:20:51
Correct Drop Event: print('Somos los campeones'),09:20:51
Parte 3,09:20:52
Pedagogical Page Open Time,09:20:52
Pedagogical Page Close Time,09:20:52
Completeblankspace Page Open Time,09:20:52
Correct Answer Selected: print,09:20:59
Completeblankspace Page Close Time,09:21:00
Parte 4,09:21:00
Pedagogical Page Open Time,09:21:00
Pedagogical Page Close Time,09:21:00
Draganddrop Page Open Time,09:21:00
Draganddrop Page Close Time,09:21:08
Parte 5,09:21:08
Pedagogical Page Open Time,09:21:08
Correct Answer Selected: sep,09:21:08
Correct Answer Selected: '-',09:21:08
Pedagogical Page Close Time,09:21:09
Draganddrop Page Open Time,09:21:09
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",09:21:13
Draganddrop Page Close Time,09:21:14
Parte 6,09:21:14
Pedagogical Page Open Time,09:21:14
Pedagogical Page Close Time,09:21:14
Pedagogical2 Page Open Time,09:21:14
Pedagogical2 Page Close Time,09:21:15
Parte 7,09:21:15
Pedagogical Page Open Time,09:21:15
Pedagogical Page Close Time,09:21:16
Pedagogical2 Page Open Time,09:21:16
Pedagogical2 Page Close Time,09:21:16

"Modulo 1, Leccion 5",
Parte 1,09:21:20
Pedagogical2 Page Open Time,09:21:20
Pedagogical2 Page Close Time,09:21:21
Parte 2,09:21:21
Pedagogical Page Open Time,09:21:21
Pedagogical Page Close Time,09:21:23
Pedagogical2 Page Open Time,09:21:23
Pedagogical2 Page Close Time,09:21:23
Parte 3,09:21:23
Multiplechoice Page Open Time,09:21:23
Checkbox Selected: valor.,09:21:26
Multiplechoice Page Close Time,09:21:27
Draganddrop Page Open Time,09:21:27
Correct Drop Event: edad,09:21:31
Correct Drop Event: 18,09:21:31
Draganddrop Page Close Time,09:21:32
