"Modulo 1, Leccion 1",
Parte 1,09:27:27
Pedagogical Page Open Time,09:27:27
Pedagogical Page Close Time,09:27:28
Multiplechoice Page Open Time,09:27:28
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:27:30
Multiplechoice Page Close Time,09:27:31
Parte 2,09:27:31
Pedagogical Page Open Time,09:27:31
Pedagogical Page Close Time,09:27:34
Pedagogical2 Page Open Time,09:27:34
Pedagogical2 Page Close Time,09:27:35
Parte 3,09:27:35
Pedagogical Page Open Time,09:27:35
Pedagogical Page Close Time,09:27:35
Multiplechoice Page Open Time,09:27:35
Checkbox Selected: Verdadero,09:27:38
Multiplechoice Page Close Time,09:27:39
Parte 4,09:27:39
Draganddrop Page Open Time,09:27:39
Correct Answer Selected: print(729),09:27:41
Draganddrop Page Close Time,09:27:42
Pedagogical Page Open Time,09:27:42
Pedagogical Page Close Time,09:27:43
Parte 5,09:27:43
Multiplechoice Page Open Time,09:27:43
Multiplechoice Page Close Time,09:27:46
Pedagogical Page Open Time,09:27:46
Checkbox Selected: comillas '' ,09:27:46
Pedagogical Page Close Time,09:27:47
Parte 6,09:27:47
Pedagogical Page Open Time,09:27:47
Pedagogical Page Close Time,09:27:47

