"Modulo 1, Leccion 1",
Parte 1,13:43:31
Pedagogical Page Open Time,13:43:31
Pedagogical Page Close Time,13:43:35
Multiplechoice Page Open Time,13:43:35
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,13:43:37
Multiplechoice Page Close Time,13:43:38
Parte 2,13:43:38
Pedagogical Page Open Time,13:43:38
Pedagogical Page Close Time,13:43:41
Pedagogical2 Page Open Time,13:43:41
Pedagogical2 Page Close Time,13:43:41
Parte 3,13:43:41
Pedagogical Page Open Time,13:43:41
Pedagogical Page Close Time,13:43:42
Multiplechoice Page Open Time,13:43:42
Multiplechoice Page Close Time,13:43:44
Parte 4,13:43:44
Draganddrop Page Open Time,13:43:44
Parte 3,13:43:44
Checkbox Selected: Verdadero,13:43:44
Draganddrop Page Close Time,13:43:49
Pedagogical Page Open Time,13:43:49
Pedagogical Page Close Time,13:43:49
Parte 5,13:43:49
Multiplechoice Page Open Time,13:43:49
Parte 4,13:43:49
Correct Answer Selected: print(729),13:43:49
Multiplechoice Page Close Time,13:43:53
Pedagogical Page Open Time,13:43:53
Parte 5,13:43:53
Checkbox Selected: comillas '' ,13:43:53
Pedagogical Page Close Time,13:43:54
Parte 6,13:43:54
Pedagogical Page Open Time,13:43:54
Pedagogical Page Close Time,13:43:56

