"Modulo 1, Leccion 1",
Parte 1,13:51:48
Pedagogical Page Open Time,13:51:48
Pedagogical Page Close Time,13:51:50
Multiplechoice Page Open Time,13:51:50
Multiplechoice Page Close Time,13:51:53
Parte 2,13:51:53
Pedagogical Page Open Time,13:51:53
Parte 1,13:51:53
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,13:51:53
Pedagogical Page Close Time,13:51:55
Pedagogical2 Page Open Time,13:51:55
Pedagogical2 Page Close Time,13:51:56
Parte 3,13:51:56
Pedagogical Page Open Time,13:51:56
Pedagogical Page Close Time,13:51:56
Multiplechoice Page Open Time,13:51:56
Checkbox Selected: Verdadero,13:51:59
Multiplechoice Page Close Time,13:52:00
Parte 4,13:52:00
Draganddrop Page Open Time,13:52:00
Draganddrop Page Close Time,13:52:02
Pedagogical Page Open Time,13:52:02
Correct Answer Selected: print(729),13:52:02
Pedagogical Page Close Time,13:52:03
Parte 5,13:52:03
Multiplechoice Page Open Time,13:52:03
Multiplechoice Page Close Time,13:52:05
Pedagogical Page Open Time,13:52:05
Checkbox Selected: comillas '' ,13:52:05
Pedagogical Page Close Time,13:52:06
Parte 6,13:52:06
Pedagogical Page Open Time,13:52:06
Pedagogical Page Close Time,13:52:06

