"Modulo 1, Leccion 1",
Parte 1,09:06:49
Pedagogical Page Open Time,09:06:49
Pedagogical Page Close Time,09:06:51
Multiplechoice Page Open Time,09:06:51
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:06:54
Multiplechoice Page Close Time,09:06:55
Parte 2,09:06:55
Pedagogical Page Open Time,09:06:55
Pedagogical Page Close Time,09:06:58
Pedagogical2 Page Open Time,09:06:58
Pedagogical2 Page Close Time,09:06:59
Parte 3,09:06:59
Pedagogical Page Open Time,09:06:59
Pedagogical Page Close Time,09:07:00
Multiplechoice Page Open Time,09:07:00
Multiplechoice Page Close Time,09:07:03
Parte 4,09:07:03
Draganddrop Page Open Time,09:07:03
Parte 3,09:07:03
Checkbox Selected: Verdadero,09:07:03
Parte 4,09:07:06
Correct Answer Selected: print(729),09:07:06
Draganddrop Page Close Time,09:07:07
Pedagogical Page Open Time,09:07:07
Pedagogical Page Close Time,09:07:08
Parte 5,09:07:08
Multiplechoice Page Open Time,09:07:08
Multiplechoice Page Close Time,09:07:11
Pedagogical Page Open Time,09:07:11
Checkbox Selected: comillas '' ,09:07:11
Pedagogical Page Close Time,09:07:12
Parte 6,09:07:12
Pedagogical Page Open Time,09:07:12
Pedagogical Page Close Time,09:07:13

