"Modulo 1, Leccion 1",
Parte 1,09:13:09
Pedagogical Page Open Time,09:13:09
Pedagogical Page Close Time,09:13:15
Multiplechoice Page Open Time,09:13:15
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:13:18
Multiplechoice Page Close Time,09:13:20
Parte 2,09:13:20
Pedagogical Page Open Time,09:13:20
Pedagogical Page Close Time,09:13:22
Pedagogical2 Page Open Time,09:13:22
Pedagogical2 Page Close Time,09:13:23
Parte 3,09:13:23
Pedagogical Page Open Time,09:13:23
Pedagogical Page Close Time,09:13:24
Multiplechoice Page Open Time,09:13:24
Checkbox Selected: Verdadero,09:13:26
Multiplechoice Page Close Time,09:13:27
Parte 4,09:13:27
Draganddrop Page Open Time,09:13:27
Correct Answer Selected: print(729),09:13:31
Draganddrop Page Close Time,09:13:32
Pedagogical Page Open Time,09:13:32
Pedagogical Page Close Time,09:13:33
Parte 5,09:13:33
Multiplechoice Page Open Time,09:13:33
Checkbox Selected: punto y coma ;,09:13:35
Checkbox Selected: comillas '' ,09:13:40
Multiplechoice Page Close Time,09:13:41
Pedagogical Page Open Time,09:13:41
Pedagogical Page Close Time,09:13:42
Parte 6,09:13:42
Pedagogical Page Open Time,09:13:42
Pedagogical Page Close Time,09:13:43

