"Modulo 1, Leccion 1",
Parte 1,13:59:40
Pedagogical Page Open Time,13:59:40
Pedagogical Page Close Time,13:59:47
Multiplechoice Page Open Time,13:59:47
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,13:59:52
Multiplechoice Page Close Time,13:59:54
Parte 2,13:59:54
Pedagogical Page Open Time,13:59:54
Pedagogical Page Close Time,13:59:57
Pedagogical2 Page Open Time,13:59:57
Pedagogical2 Page Close Time,13:59:58
Parte 3,13:59:58
Pedagogical Page Open Time,13:59:58
Pedagogical Page Close Time,13:59:59
Multiplechoice Page Open Time,13:59:59
Checkbox Selected: Verdadero,14:00:03
Multiplechoice Page Close Time,14:00:05
Parte 4,14:00:05
Draganddrop Page Open Time,14:00:05
Correct Answer Selected: print(729),14:00:09
Draganddrop Page Close Time,14:00:12
Pedagogical Page Open Time,14:00:12
Pedagogical Page Close Time,14:00:13
Parte 5,14:00:13
Multiplechoice Page Open Time,14:00:13
Checkbox Selected: comillas '' ,14:00:16
Multiplechoice Page Close Time,14:00:35
Pedagogical Page Open Time,14:00:35
Pedagogical Page Close Time,14:00:36
Parte 6,14:00:36
Pedagogical Page Open Time,14:00:36
Pedagogical Page Close Time,14:00:37

