"Modulo 1, Leccion 1",
Parte 1,15:02:19
Pedagogical Page Open Time,15:02:19
Pedagogical Page Close Time,15:02:21
Multiplechoice Page Open Time,15:02:21
Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,15:02:26
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,15:02:29
Multiplechoice Page Close Time,15:02:30
Parte 2,15:02:30
Pedagogical Page Open Time,15:02:30
Pedagogical Page Close Time,15:02:33
Pedagogical2 Page Open Time,15:02:33
Pedagogical2 Page Close Time,15:02:34
Parte 3,15:02:34
Pedagogical Page Open Time,15:02:34
Pedagogical Page Close Time,15:02:35
Multiplechoice Page Open Time,15:02:35
Checkbox Selected: Verdadero,15:02:40
Multiplechoice Page Close Time,15:02:41
Parte 4,15:02:41
Draganddrop Page Open Time,15:02:41
Correct Answer Selected: print(729),15:02:47
Draganddrop Page Close Time,15:02:48
Pedagogical Page Open Time,15:02:48
Pedagogical Page Close Time,15:02:49
Parte 5,15:02:49
Multiplechoice Page Open Time,15:02:49
Multiplechoice Page Close Time,15:02:54
Pedagogical Page Open Time,15:02:54
Checkbox Selected: comillas '' ,15:02:54
Pedagogical Page Close Time,15:02:55
Parte 6,15:02:55
Pedagogical Page Open Time,15:02:55
Pedagogical Page Close Time,15:02:56

