"Modulo 1, Leccion 1",
Parte 1,13:22:07
Pedagogical Page Open Time,13:22:07
Pedagogical Page Close Time,13:22:11
Multiplechoice Page Open Time,13:22:11
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,13:22:15
Multiplechoice Page Close Time,13:22:16
Parte 2,13:22:16
Pedagogical Page Open Time,13:22:16
Pedagogical Page Close Time,13:22:21
Pedagogical2 Page Open Time,13:22:21
Pedagogical2 Page Close Time,13:22:21
Parte 3,13:22:21
Pedagogical Page Open Time,13:22:21
Pedagogical Page Close Time,13:22:22
Multiplechoice Page Open Time,13:22:22
Checkbox Selected: Verdadero,13:22:27
Multiplechoice Page Close Time,13:22:30
Parte 4,13:22:30
Draganddrop Page Open Time,13:22:30
Correct Answer Selected: print(729),13:22:35
Draganddrop Page Close Time,13:22:37
Pedagogical Page Open Time,13:22:37
Pedagogical Page Close Time,13:22:38
Parte 5,13:22:38
Multiplechoice Page Open Time,13:22:38
Checkbox Selected: comillas '' ,13:22:43
Multiplechoice Page Close Time,13:22:44
Pedagogical Page Open Time,13:22:44
Pedagogical Page Close Time,13:22:45
Parte 6,13:22:45
Pedagogical Page Open Time,13:22:45
Pedagogical Page Close Time,13:22:47

