"Modulo 1, Leccion 1",
Parte 1,09:04:37
Pedagogical Page Open Time,09:04:37
Pedagogical Page Close Time,09:04:39
Multiplechoice Page Open Time,09:04:39
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:04:41
Multiplechoice Page Close Time,09:04:42
Parte 2,09:04:42
Pedagogical Page Open Time,09:04:42
Pedagogical Page Close Time,09:04:45
Pedagogical2 Page Open Time,09:04:45
Pedagogical2 Page Close Time,09:04:46
Parte 3,09:04:46
Pedagogical Page Open Time,09:04:46
Pedagogical Page Close Time,09:04:46
Multiplechoice Page Open Time,09:04:46
Checkbox Selected: Verdadero,09:04:49
Multiplechoice Page Close Time,09:04:50
Parte 4,09:04:50
Draganddrop Page Open Time,09:04:50
Incorrect Answer Selected: <Espacio para respuesta>(729),09:04:50
Draganddrop Page Close Time,09:04:53
Pedagogical Page Open Time,09:04:53
Correct Answer Selected: print(729),09:04:53
Pedagogical Page Close Time,09:04:54
Parte 5,09:04:54
Multiplechoice Page Open Time,09:04:54
Multiplechoice Page Close Time,09:04:57
Pedagogical Page Open Time,09:04:57
Pedagogical Page Close Time,09:04:57
Parte 6,09:04:57
Pedagogical Page Open Time,09:04:57
Parte 5,09:04:57
Checkbox Selected: comillas '' ,09:04:57
Pedagogical Page Close Time,09:04:58

