"Modulo 1, Leccion 1",
Parte 1,17:27:33
Pedagogical Page Open Time,17:27:33
Pedagogical Page Close Time,17:27:54
Multiplechoice Page Open Time,17:27:54
Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,17:28:03
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:28:07
Multiplechoice Page Close Time,17:28:09
Parte 2,17:28:09
Pedagogical Page Open Time,17:28:09
Pedagogical Page Close Time,17:28:19
Pedagogical2 Page Open Time,17:28:19
Pedagogical2 Page Close Time,17:28:21
Parte 3,17:28:21
Pedagogical Page Open Time,17:28:21
Pedagogical Page Close Time,17:28:22
Multiplechoice Page Open Time,17:28:22
Checkbox Selected: Verdadero,17:28:30
Multiplechoice Page Close Time,17:28:34
Parte 4,17:28:34
Draganddrop Page Open Time,17:28:34
Correct Answer Selected: print(729),17:28:46
Draganddrop Page Close Time,17:28:50
Pedagogical Page Open Time,17:28:50
Pedagogical Page Close Time,17:28:53
Parte 5,17:28:53
Multiplechoice Page Open Time,17:28:53
Checkbox Selected: comillas '' ,17:28:59
Multiplechoice Page Close Time,17:29:02
Pedagogical Page Open Time,17:29:02
Pedagogical Page Close Time,17:29:03
Parte 6,17:29:03
Pedagogical Page Open Time,17:29:03
Pedagogical Page Close Time,17:29:03

"Modulo 1, Leccion 2",
Parte 1,17:29:07
Pedagogical Page Open Time,17:29:07
Pedagogical Page Close Time,17:29:09
Pedagogical2 Page Open Time,17:29:09
Pedagogical2 Page Close Time,17:29:13
Parte 2,17:29:13
Completeblankspace Page Open Time,17:29:13
Correct Answer Selected: +,17:29:21
Completeblankspace Page Close Time,17:29:24
Pedagogical Page Open Time,17:29:24
Pedagogical Page Close Time,17:29:26
Parte 3,17:29:26
Draganddrop Page Open Time,17:29:26
Correct Answer Selected: print(42 * 3),17:29:32
Draganddrop Page Close Time,17:29:33
Pedagogical Page Open Time,17:29:33
Pedagogical Page Close Time,17:29:36
Parte 4,17:29:36
Multiplechoice Page Open Time,17:29:36
Correct Answer Selected: 4.0,17:29:39
Multiplechoice Page Close Time,17:29:40
Pedagogical Page Open Time,17:29:40
Pedagogical Page Close Time,17:29:41
Parte 5,17:29:41
Draganddrop Page Open Time,17:29:41
Correct Answer Selected: Entero:2,17:29:51
Correct Answer Selected: Flotante:3.14,17:29:51
Draganddrop Page Close Time,17:29:52
Pedagogical Page Open Time,17:29:52
Pedagogical Page Close Time,17:29:55
Parte 6,17:29:55
Pedagogical Page Open Time,17:29:55
Pedagogical Page Close Time,17:29:56
Pedagogical2 Page Open Time,17:29:56
Pedagogical2 Page Close Time,17:32:22
Parte 7,17:32:22
Pedagogical Page Open Time,17:32:22
Pedagogical Page Close Time,17:32:23

"Modulo 1, Leccion 3",
Parte 1,17:32:30
Pedagogical Page Open Time,17:32:30
Pedagogical Page Close Time,17:33:07
Pedagogical2 Page Open Time,17:33:07
Pedagogical2 Page Close Time,17:33:08
Parte 2,17:33:08
Multiplechoice Page Open Time,17:33:08
Checkbox Selected: 'Viernes',17:33:26
Checkbox Selected: 'The Lord of the Rings',17:33:26
Multiplechoice Page Close Time,17:33:27
Pedagogical Page Open Time,17:33:27
Pedagogical Page Close Time,17:33:28
Parte 3,17:33:28
Draganddrop Page Open Time,17:33:28
Draganddrop Page Close Time,17:33:38
Correct Drop Event: Water,17:33:38
Correct Drop Event: +,17:33:38
Correct Drop Event: Park,17:33:38
