"Modulo 1, Leccion 1",
Parte 1,15:09:28
Pedagogical Page Open Time,15:09:28
Pedagogical Page Close Time,15:09:35
Multiplechoice Page Open Time,15:09:35
Multiplechoice Page Close Time,15:09:39
Parte 2,15:09:39
Pedagogical Page Open Time,15:09:39
Parte 1,15:09:39
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,15:09:39
Pedagogical Page Close Time,15:09:42
Pedagogical2 Page Open Time,15:09:42
Pedagogical2 Page Close Time,15:09:43
Parte 3,15:09:43
Pedagogical Page Open Time,15:09:43
Pedagogical Page Close Time,15:09:43
Multiplechoice Page Open Time,15:09:43
Multiplechoice Page Close Time,15:09:47
Parte 4,15:09:47
Draganddrop Page Open Time,15:09:47
Parte 3,15:09:47
Checkbox Selected: Verdadero,15:09:47
Parte 4,15:09:47
Incorrect Answer Selected: <Espacio para respuesta>(729),15:09:47
Draganddrop Page Close Time,15:09:52
Pedagogical Page Open Time,15:09:52
Correct Answer Selected: print(729),15:09:52
Pedagogical Page Close Time,15:09:53
Parte 5,15:09:53
Multiplechoice Page Open Time,15:09:53
Checkbox Selected: comillas '' ,15:09:57
Multiplechoice Page Close Time,15:09:58
Pedagogical Page Open Time,15:09:58
Pedagogical Page Close Time,15:09:59
Parte 6,15:09:59
Pedagogical Page Open Time,15:09:59
Pedagogical Page Close Time,15:10:00

