"Modulo 1, Leccion 1",
Parte 1,15:28:17
Pedagogical Page Open Time,15:28:17
Pedagogical Page Close Time,15:28:23
Multiplechoice Page Open Time,15:28:23
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,15:28:25
Multiplechoice Page Close Time,15:28:27
Parte 2,15:28:27
Pedagogical Page Open Time,15:28:27
Pedagogical Page Close Time,15:28:30
Pedagogical2 Page Open Time,15:28:30
Pedagogical2 Page Close Time,15:28:30
Parte 3,15:28:30
Pedagogical Page Open Time,15:28:30
Pedagogical Page Close Time,15:28:31
Multiplechoice Page Open Time,15:28:31
Multiplechoice Page Close Time,15:28:34
Parte 4,15:28:34
Draganddrop Page Open Time,15:28:34
Parte 3,15:28:34
Checkbox Selected: Verdadero,15:28:34
Draganddrop Page Close Time,15:28:38
Pedagogical Page Open Time,15:28:38
Parte 4,15:28:38
Correct Answer Selected: print(729),15:28:38
Pedagogical Page Close Time,15:28:39
Parte 5,15:28:39
Multiplechoice Page Open Time,15:28:39
Checkbox Selected: comillas '' ,15:28:41
Multiplechoice Page Close Time,15:28:42
Pedagogical Page Open Time,15:28:42
Pedagogical Page Close Time,15:28:43
Parte 6,15:28:43
Pedagogical Page Open Time,15:28:43
Pedagogical Page Close Time,15:28:43

