"Modulo 1, Leccion 1",
Parte 1,13:38:39
Pedagogical Page Open Time,13:38:39
Pedagogical Page Close Time,13:38:45
Multiplechoice Page Open Time,13:38:45
Multiplechoice Page Close Time,13:38:49
Parte 2,13:38:49
Pedagogical Page Open Time,13:38:49
Parte 1,13:38:49
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,13:38:49
Pedagogical Page Close Time,13:38:50
Pedagogical2 Page Open Time,13:38:50
Pedagogical2 Page Close Time,13:38:50
Parte 3,13:38:50
Pedagogical Page Open Time,13:38:50
Pedagogical Page Close Time,13:38:51
Multiplechoice Page Open Time,13:38:51
Checkbox Selected: Verdadero,13:38:53
Multiplechoice Page Close Time,13:38:54
Parte 4,13:38:54
Draganddrop Page Open Time,13:38:54
Correct Answer Selected: print(729),13:38:59
Draganddrop Page Close Time,13:39:00
Pedagogical Page Open Time,13:39:00
Pedagogical Page Close Time,13:39:01
Parte 5,13:39:01
Multiplechoice Page Open Time,13:39:01
Checkbox Selected: comillas '' ,13:39:09
Multiplechoice Page Close Time,13:39:10
Pedagogical Page Open Time,13:39:10
Pedagogical Page Close Time,13:39:11
Parte 6,13:39:11
Pedagogical Page Open Time,13:39:11
Pedagogical Page Close Time,13:39:12

