"Modulo 1, Leccion 1",
Parte 1,18:14:33
Pedagogical Page Open Time,18:14:33
Pedagogical Page Close Time,18:14:38
Multiplechoice Page Open Time,18:14:38
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,18:14:41
Multiplechoice Page Close Time,18:14:42
Parte 2,18:14:42
Pedagogical Page Open Time,18:14:42
Pedagogical Page Close Time,18:14:45
Pedagogical2 Page Open Time,18:14:45
Pedagogical2 Page Close Time,18:14:45
Parte 3,18:14:45
Pedagogical Page Open Time,18:14:45
Pedagogical Page Close Time,18:14:46
Multiplechoice Page Open Time,18:14:46
Checkbox Selected: Verdadero,18:14:48
Multiplechoice Page Close Time,18:14:49
Parte 4,18:14:49
Draganddrop Page Open Time,18:14:49
Correct Answer Selected: print(729),18:14:52
Draganddrop Page Close Time,18:14:53
Pedagogical Page Open Time,18:14:53
Pedagogical Page Close Time,18:14:53
Parte 5,18:14:53
Multiplechoice Page Open Time,18:14:53
Checkbox Selected: comillas '' ,18:14:56
Multiplechoice Page Close Time,18:14:57
Pedagogical Page Open Time,18:14:57
Pedagogical Page Close Time,18:14:57
Parte 6,18:14:57
Pedagogical Page Open Time,18:14:57
Pedagogical Page Close Time,18:14:58

