"Modulo 1, Leccion 1",
Parte 1,21:41:29
Pedagogical Page Open Time,21:41:29
Pedagogical Page Close Time,21:41:32
Multiplechoice Page Open Time,21:41:32
Multiplechoice Page Close Time,21:41:36
Parte 2,21:41:36
Pedagogical Page Open Time,21:41:36
Parte 1,21:41:36
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,21:41:36
Pedagogical Page Close Time,21:41:40
Pedagogical2 Page Open Time,21:41:40
Pedagogical2 Page Close Time,21:41:40
Parte 3,21:41:40
Pedagogical Page Open Time,21:41:40
Pedagogical Page Close Time,21:41:41
Multiplechoice Page Open Time,21:41:41
Checkbox Selected: Verdadero,21:41:43
Multiplechoice Page Close Time,21:41:44
Parte 4,21:41:44
Draganddrop Page Open Time,21:41:44
Draganddrop Page Close Time,21:41:51
Pedagogical Page Open Time,21:41:51
Correct Answer Selected: print(729),21:41:51
Pedagogical Page Close Time,21:41:52
Parte 5,21:41:52
Multiplechoice Page Open Time,21:41:52
Checkbox Selected: comillas '' ,21:41:56
Multiplechoice Page Close Time,21:41:57
Pedagogical Page Open Time,21:41:57
Pedagogical Page Close Time,21:41:57
Parte 6,21:41:57
Pedagogical Page Open Time,21:41:57
Pedagogical Page Close Time,21:41:59

