"Modulo 1, Leccion 1",
Parte 1,10:55:30
Pedagogical Page Open Time,10:55:30
Pedagogical Page Close Time,10:55:33
Multiplechoice Page Open Time,10:55:33
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,10:55:35
Multiplechoice Page Close Time,10:55:36
Parte 2,10:55:36
Pedagogical Page Open Time,10:55:36
Pedagogical Page Close Time,10:55:40
Pedagogical2 Page Open Time,10:55:40
Pedagogical2 Page Close Time,10:55:40
Parte 3,10:55:40
Pedagogical Page Open Time,10:55:40
Pedagogical Page Close Time,10:55:41
Multiplechoice Page Open Time,10:55:41
Multiplechoice Page Close Time,10:55:44
Parte 4,10:55:44
Draganddrop Page Open Time,10:55:44
Parte 3,10:55:44
Checkbox Selected: Verdadero,10:55:44
Parte 4,10:55:47
Correct Answer Selected: print(729),10:55:47
Draganddrop Page Close Time,10:55:48
Pedagogical Page Open Time,10:55:48
Pedagogical Page Close Time,10:55:49
Parte 5,10:55:49
Multiplechoice Page Open Time,10:55:49
Checkbox Selected: comillas '' ,10:55:51
Multiplechoice Page Close Time,10:55:52
Pedagogical Page Open Time,10:55:52
Pedagogical Page Close Time,10:55:53
Parte 6,10:55:53
Pedagogical Page Open Time,10:55:53
Pedagogical Page Close Time,10:55:53

"Modulo 1, Leccion 2",
Parte 1,10:56:30
Pedagogical Page Open Time,10:56:30
Pedagogical Page Close Time,10:56:33
Pedagogical2 Page Open Time,10:56:33
Pedagogical2 Page Close Time,10:57:10
Parte 2,10:57:10
Completeblankspace Page Open Time,10:57:10
Correct Answer Selected: +,10:57:14
Completeblankspace Page Close Time,10:57:15
Pedagogical Page Open Time,10:57:15
Pedagogical Page Close Time,10:57:16
Parte 3,10:57:16
Draganddrop Page Open Time,10:57:16
Draganddrop Page Close Time,10:57:22
Pedagogical Page Open Time,10:57:22
Correct Answer Selected: print(42 * 3),10:57:22
Pedagogical Page Close Time,10:57:23
Parte 4,10:57:23
Multiplechoice Page Open Time,10:57:23
Multiplechoice Page Close Time,10:57:26
Pedagogical Page Open Time,10:57:26
Correct Answer Selected: 4.0,10:57:26
Pedagogical Page Close Time,10:57:27
Parte 5,10:57:27
Draganddrop Page Open Time,10:57:27
Draganddrop Page Close Time,10:57:32
Pedagogical Page Open Time,10:57:32
Correct Answer Selected: Entero:2,10:57:32
Correct Answer Selected: Flotante:3.14,10:57:32
Pedagogical Page Close Time,10:57:33
Parte 6,10:57:33
Pedagogical Page Open Time,10:57:33
Pedagogical Page Close Time,10:57:33
Pedagogical2 Page Open Time,10:57:33
Pedagogical2 Page Close Time,10:57:34
Parte 7,10:57:34
Pedagogical Page Open Time,10:57:34
Pedagogical Page Close Time,10:57:34

"Modulo 1, Leccion 3",
Parte 1,10:57:41
Pedagogical Page Open Time,10:57:41
Pedagogical Page Close Time,10:57:42
Pedagogical2 Page Open Time,10:57:42
Pedagogical2 Page Close Time,10:57:43
Pedagogical Page Open Time,10:57:43
Pedagogical Page Close Time,10:57:44
Pedagogical2 Page Open Time,10:57:44
Pedagogical2 Page Close Time,10:57:45
Parte 2,10:57:45
Multiplechoice Page Open Time,10:57:45
Multiplechoice Page Close Time,10:57:49
Pedagogical Page Open Time,10:57:49
Checkbox Selected: 'Viernes',10:57:49
Checkbox Selected: 'The Lord of the Rings',10:57:49
Pedagogical Page Close Time,10:57:50
Parte 3,10:57:50
Draganddrop Page Open Time,10:57:50
Correct Drop Event: Water,10:57:56
Correct Drop Event: +,10:57:56
Correct Drop Event: Park,10:57:56
Draganddrop Page Close Time,10:57:57
Pedagogical Page Open Time,10:57:57
Pedagogical Page Close Time,10:57:57
Parte 4,10:57:57
Multiplechoice Page Open Time,10:57:57
Multiplechoice Page Close Time,10:58:02
Draganddrop Page Open Time,10:58:02
Checkbox Selected: '100',10:58:02
Checkbox Selected: 'Manzana',10:58:02
Draganddrop Page Close Time,10:58:09
Parte 5,10:58:09
Pedagogical Page Open Time,10:58:09
Correct Answer Selected: 100,10:58:09
Correct Answer Selected: 100.00,10:58:09
Correct Answer Selected: 'cien',10:58:09
Pedagogical Page Close Time,10:58:10
Pedagogical2 Page Open Time,10:58:10
Pedagogical2 Page Close Time,10:58:10
Parte 6,10:58:10
Pedagogical Page Open Time,10:58:10
Pedagogical Page Close Time,10:58:11

"Modulo 1, Leccion 4",
Parte 1,10:58:17
Pedagogical Page Open Time,10:58:17
Pedagogical Page Close Time,10:58:18
Draganddrop Page Open Time,10:58:18
Correct Answer Selected: Entero,10:58:27
Correct Answer Selected: Flotante,10:58:27
Correct Answer Selected: Cadena,10:58:27
Draganddrop Page Close Time,10:58:28
Parte 2,10:58:28
Pedagogical Page Open Time,10:58:28
Pedagogical Page Close Time,10:58:28
Draganddrop Page Open Time,10:58:28
Correct Drop Event: print('Nosotros somos los campeones amigos'),10:58:36
Correct Drop Event: print('Y seguiremos luchando hasta el final'),10:58:36
Correct Drop Event: print('Somos los campeones'),10:58:36
Draganddrop Page Close Time,10:58:37
Parte 3,10:58:37
Pedagogical Page Open Time,10:58:37
Pedagogical Page Close Time,10:58:37
Completeblankspace Page Open Time,10:58:37
Completeblankspace Page Close Time,10:58:41
Parte 4,10:58:41
Pedagogical Page Open Time,10:58:41
Correct Answer Selected: print,10:58:41
Pedagogical Page Close Time,10:58:42
Draganddrop Page Open Time,10:58:42
Correct Answer Selected: sep,10:58:47
Correct Answer Selected: '-',10:58:47
Draganddrop Page Close Time,10:58:48
Parte 5,10:58:48
Pedagogical Page Open Time,10:58:48
Pedagogical Page Close Time,10:58:49
Draganddrop Page Open Time,10:58:49
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",10:58:53
Draganddrop Page Close Time,10:58:54
Parte 6,10:58:54
Pedagogical Page Open Time,10:58:54
Pedagogical Page Close Time,10:58:54
Pedagogical2 Page Open Time,10:58:54
Pedagogical2 Page Close Time,10:58:55
Parte 7,10:58:55
Pedagogical Page Open Time,10:58:55
Pedagogical Page Close Time,10:58:56
Pedagogical2 Page Open Time,10:58:56
Pedagogical2 Page Close Time,10:58:56

"Modulo 1, Leccion 5",
Parte 1,10:59:00
Pedagogical2 Page Open Time,10:59:00
Pedagogical2 Page Close Time,10:59:01
Parte 2,10:59:01
Pedagogical Page Open Time,10:59:01
Pedagogical Page Close Time,10:59:02
Pedagogical2 Page Open Time,10:59:02
Pedagogical2 Page Close Time,10:59:04
Parte 3,10:59:04
Multiplechoice Page Open Time,10:59:04
Checkbox Selected: valor.,10:59:08
Multiplechoice Page Close Time,10:59:09
Draganddrop Page Open Time,10:59:09
Correct Drop Event: edad,10:59:13
Correct Drop Event: 18,10:59:13
Draganddrop Page Close Time,10:59:14
Parte 4,10:59:14
Pedagogical Page Open Time,10:59:14
Pedagogical Page Close Time,10:59:15
Completeblankspace Page Open Time,10:59:15
Completeblankspace Page Close Time,10:59:18
Parte 5,10:59:18
Pedagogical Page Open Time,10:59:18
Correct Answer Selected: 2028,10:59:18
Pedagogical Page Close Time,10:59:19
Multiplechoice Page Open Time,10:59:19
Multiplechoice Page Close Time,10:59:26
Parte 6,10:59:26
Multiplechoice Page Open Time,10:59:26
Checkbox Selected: 24,10:59:26
Checkbox Selected: 12,10:59:29
Multiplechoice Page Close Time,10:59:30
Pedagogical Page Open Time,10:59:30
Pedagogical Page Close Time,10:59:30
Parte 7,10:59:30
Multiplechoice Page Open Time,10:59:30
Multiplechoice Page Close Time,10:59:34
Pedagogical Page Open Time,10:59:34
Checkbox Selected: un_nombre_variable,10:59:34
Pedagogical Page Close Time,10:59:35
Parte 8,10:59:35
Multiplechoice Page Open Time,10:59:35
Checkbox Selected: Balance: € 200,10:59:38
Multiplechoice Page Close Time,10:59:39
Pedagogical Page Open Time,10:59:39
Pedagogical Page Close Time,10:59:39
Parte 9,10:59:39
Pedagogical Page Open Time,10:59:39
Pedagogical Page Close Time,10:59:40
Pedagogical2 Page Open Time,10:59:40
Pedagogical2 Page Close Time,10:59:41

"Modulo 2, Leccion 1",
Parte 1,10:59:49
Pedagogical Page Open Time,10:59:49
Pedagogical Page Close Time,10:59:51
Pedagogical2 Page Open Time,10:59:51
Pedagogical2 Page Close Time,10:59:52
Parte 2,10:59:52
Draganddrop Page Open Time,10:59:52
Draganddrop Page Close Time,11:00:08
Pedagogical Page Open Time,11:00:08
Correct Answer Selected: '42',11:00:08
Correct Answer Selected: text,11:00:08
Pedagogical Page Close Time,11:00:09
Parte 3,11:00:09
Multiplechoice Page Open Time,11:00:09
Checkbox Selected: una cadena,11:00:13
Multiplechoice Page Close Time,11:00:14
Pedagogical Page Open Time,11:00:14
