"Modulo 1, Leccion 1",
Parte 1,18:49:30
Pedagogical Page Open Time,18:49:30
Pedagogical Page Close Time,18:49:35
Multiplechoice Page Open Time,18:49:35
Multiplechoice Page Close Time,18:49:40
Parte 2,18:49:40
Pedagogical Page Open Time,18:49:40
Parte 1,18:49:40
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,18:49:40
Pedagogical Page Close Time,18:49:44
Pedagogical2 Page Open Time,18:49:44
Pedagogical2 Page Close Time,18:49:45
Parte 3,18:49:45
Pedagogical Page Open Time,18:49:45
Pedagogical Page Close Time,18:49:45
Multiplechoice Page Open Time,18:49:45
Checkbox Selected: Verdadero,18:49:48
Multiplechoice Page Close Time,18:49:49
Parte 4,18:49:49
Draganddrop Page Open Time,18:49:49
Correct Answer Selected: print(729),18:49:55
Draganddrop Page Close Time,18:49:56
Pedagogical Page Open Time,18:49:56
Pedagogical Page Close Time,18:49:57
Parte 5,18:49:57
Multiplechoice Page Open Time,18:49:57
Checkbox Selected: comillas '' ,18:50:02
Multiplechoice Page Close Time,18:50:03
Pedagogical Page Open Time,18:50:03
Pedagogical Page Close Time,18:50:04
Parte 6,18:50:04
Pedagogical Page Open Time,18:50:04
Pedagogical Page Close Time,18:50:05

"Modulo 1, Leccion 2",
Parte 1,18:50:21
Pedagogical Page Open Time,18:50:21
Pedagogical Page Close Time,18:50:25
Pedagogical2 Page Open Time,18:50:25
Pedagogical2 Page Close Time,18:50:26
Parte 2,18:50:26
Completeblankspace Page Open Time,18:50:26
Correct Answer Selected: +,18:50:32
Completeblankspace Page Close Time,18:50:33
Pedagogical Page Open Time,18:50:33
Pedagogical Page Close Time,18:50:35
Parte 3,18:50:35
Draganddrop Page Open Time,18:50:35
Correct Answer Selected: print(42 * 3),18:50:41
Draganddrop Page Close Time,18:50:42
Pedagogical Page Open Time,18:50:42
Pedagogical Page Close Time,18:50:43
Parte 4,18:50:43
Multiplechoice Page Open Time,18:50:43
Correct Answer Selected: 4.0,18:50:46
Multiplechoice Page Close Time,18:50:47
Pedagogical Page Open Time,18:50:47
Pedagogical Page Close Time,18:50:48
Parte 5,18:50:48
Draganddrop Page Open Time,18:50:48
Incorrect Answer Selected: Entero:<Espacio para respuesta>,18:50:49
Incorrect Answer Selected: Flotante:<Espacio para respuesta>,18:50:49
