"Modulo 1, Leccion 1",
Parte 1,08:24:03
Pedagogical Page Open Time,08:24:03
Pedagogical Page Close Time,08:24:09
Multiplechoice Page Open Time,08:24:09
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,08:24:12
Multiplechoice Page Close Time,08:24:14
Parte 2,08:24:14
Pedagogical Page Open Time,08:24:14
Pedagogical Page Close Time,08:24:17
Pedagogical2 Page Open Time,08:24:17
Pedagogical2 Page Close Time,08:24:17
Parte 3,08:24:17
Pedagogical Page Open Time,08:24:17
Pedagogical Page Close Time,08:24:18
Multiplechoice Page Open Time,08:24:18
Checkbox Selected: Verdadero,08:24:21
Multiplechoice Page Close Time,08:24:22
Parte 4,08:24:22
Draganddrop Page Open Time,08:24:22
Correct Answer Selected: print(729),08:24:25
Draganddrop Page Close Time,08:24:27
Pedagogical Page Open Time,08:24:27
Pedagogical Page Close Time,08:24:28
Parte 5,08:24:28
Multiplechoice Page Open Time,08:24:28
Checkbox Selected: comillas '' ,08:24:30
Multiplechoice Page Close Time,08:24:33
Pedagogical Page Open Time,08:24:33
Pedagogical Page Close Time,08:24:34
Parte 6,08:24:34
Pedagogical Page Open Time,08:24:34
Pedagogical Page Close Time,08:24:35

