"Modulo 1, Leccion 1",
Parte 1,08:56:08
Pedagogical Page Open Time,08:56:08
Pedagogical Page Close Time,08:56:10
Multiplechoice Page Open Time,08:56:10
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,08:56:15
Multiplechoice Page Close Time,08:56:16
Parte 2,08:56:16
Pedagogical Page Open Time,08:56:16
Pedagogical Page Close Time,08:56:19
Pedagogical2 Page Open Time,08:56:19
Pedagogical2 Page Close Time,08:56:20
Parte 3,08:56:20
Pedagogical Page Open Time,08:56:20
Pedagogical Page Close Time,08:56:20
Multiplechoice Page Open Time,08:56:20
Multiplechoice Page Close Time,08:56:23
Parte 4,08:56:23
Draganddrop Page Open Time,08:56:23
Parte 3,08:56:23
Checkbox Selected: Verdadero,08:56:23
Parte 4,08:56:26
Correct Answer Selected: print(729),08:56:26
Draganddrop Page Close Time,08:56:27
Pedagogical Page Open Time,08:56:27
Pedagogical Page Close Time,08:56:27
Parte 5,08:56:27
Multiplechoice Page Open Time,08:56:27
Multiplechoice Page Close Time,08:56:31
Pedagogical Page Open Time,08:56:31
Checkbox Selected: comillas '' ,08:56:31
Pedagogical Page Close Time,08:56:32
Parte 6,08:56:32
Pedagogical Page Open Time,08:56:32
Pedagogical Page Close Time,08:56:37

