"Modulo 1, Leccion 1",
Parte 1,11:37:31
Pedagogical Page Open Time,11:37:31
Pedagogical Page Close Time,11:37:33
Multiplechoice Page Open Time,11:37:33
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,11:37:35
Multiplechoice Page Close Time,11:37:36
Parte 2,11:37:36
Pedagogical Page Open Time,11:37:36
Pedagogical Page Close Time,11:37:40
Pedagogical2 Page Open Time,11:37:40
Pedagogical2 Page Close Time,11:37:41
Parte 3,11:37:41
Pedagogical Page Open Time,11:37:41
Pedagogical Page Close Time,11:37:41
Multiplechoice Page Open Time,11:37:41
Checkbox Selected: Verdadero,11:37:45
Multiplechoice Page Close Time,11:37:46
Parte 4,11:37:46
Draganddrop Page Open Time,11:37:46
Draganddrop Page Close Time,11:37:49
Pedagogical Page Open Time,11:37:49
Correct Answer Selected: print(729),11:37:49
Pedagogical Page Close Time,11:37:50
Parte 5,11:37:50
Multiplechoice Page Open Time,11:37:50
Checkbox Selected: comillas '' ,11:37:54
Multiplechoice Page Close Time,11:37:55
Pedagogical Page Open Time,11:37:55
Pedagogical Page Close Time,11:37:56
Parte 6,11:37:56
Pedagogical Page Open Time,11:37:56
Pedagogical Page Close Time,11:37:56

