"Modulo 1, Leccion 1",
Parte 1,08:26:00
Pedagogical Page Open Time,08:26:00
Pedagogical Page Close Time,08:26:02
Multiplechoice Page Open Time,08:26:02
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,08:26:04
Multiplechoice Page Close Time,08:26:05
Parte 2,08:26:05
Pedagogical Page Open Time,08:26:05
Pedagogical Page Close Time,08:26:09
Pedagogical2 Page Open Time,08:26:09
Pedagogical2 Page Close Time,08:26:09
Parte 3,08:26:09
Pedagogical Page Open Time,08:26:09
Pedagogical Page Close Time,08:26:10
Multiplechoice Page Open Time,08:26:10
Multiplechoice Page Close Time,08:26:13
Parte 4,08:26:13
Draganddrop Page Open Time,08:26:13
Parte 3,08:26:13
Checkbox Selected: Verdadero,08:26:13
Parte 4,08:26:16
Correct Answer Selected: print(729),08:26:16
Draganddrop Page Close Time,08:26:17
Pedagogical Page Open Time,08:26:17
Pedagogical Page Close Time,08:26:18
Parte 5,08:26:18
Multiplechoice Page Open Time,08:26:18
Checkbox Selected: comillas '' ,08:26:21
Multiplechoice Page Close Time,08:26:22
Pedagogical Page Open Time,08:26:22
Pedagogical Page Close Time,08:26:23
Parte 6,08:26:23
Pedagogical Page Open Time,08:26:23
Pedagogical Page Close Time,08:26:23

"Modulo 1, Leccion 2",
Parte 1,08:27:00
Pedagogical Page Open Time,08:27:00
Pedagogical Page Close Time,08:27:04
Pedagogical2 Page Open Time,08:27:04
Pedagogical2 Page Close Time,08:27:05
Parte 2,08:27:05
Completeblankspace Page Open Time,08:27:05
Correct Answer Selected: +,08:27:09
Completeblankspace Page Close Time,08:27:10
Pedagogical Page Open Time,08:27:10
Pedagogical Page Close Time,08:31:59
Parte 3,08:31:59
Draganddrop Page Open Time,08:31:59
Correct Answer Selected: print(42 * 3),08:32:05
Draganddrop Page Close Time,08:32:09
Pedagogical Page Open Time,08:32:09
Pedagogical Page Close Time,08:32:10
Parte 4,08:32:10
Multiplechoice Page Open Time,08:32:10
Correct Answer Selected: 4.0,08:32:13
Multiplechoice Page Close Time,08:32:14
Pedagogical Page Open Time,08:32:14
Pedagogical Page Close Time,08:32:17
Parte 5,08:32:17
Draganddrop Page Open Time,08:32:17
Correct Answer Selected: Entero:2,08:32:22
Correct Answer Selected: Flotante:3.14,08:32:22
Draganddrop Page Close Time,08:32:23
Pedagogical Page Open Time,08:32:23
Pedagogical Page Close Time,08:32:24
Parte 6,08:32:24
Pedagogical Page Open Time,08:32:24
Pedagogical Page Close Time,08:32:24
Pedagogical2 Page Open Time,08:32:24
Pedagogical2 Page Close Time,08:32:25
Parte 7,08:32:25
Pedagogical Page Open Time,08:32:25
Pedagogical Page Close Time,08:32:26

"Modulo 1, Leccion 3",
Parte 1,08:32:34
Pedagogical Page Open Time,08:32:34
Pedagogical Page Close Time,08:32:38
Pedagogical2 Page Open Time,08:32:38
Pedagogical2 Page Close Time,08:32:39
Parte 2,08:32:39
Multiplechoice Page Open Time,08:32:39
Checkbox Selected: 'Viernes',08:32:43
Checkbox Selected: 'The Lord of the Rings',08:32:43
Multiplechoice Page Close Time,08:32:44
Pedagogical Page Open Time,08:32:44
Pedagogical Page Close Time,08:32:44
Parte 3,08:32:44
Draganddrop Page Open Time,08:32:44
Draganddrop Page Close Time,08:32:51
Pedagogical Page Open Time,08:32:51
Correct Drop Event: Water,08:32:51
Correct Drop Event: +,08:32:51
Correct Drop Event: Park,08:32:51
Pedagogical Page Close Time,08:32:52
Parte 4,08:32:52
Multiplechoice Page Open Time,08:32:52
Multiplechoice Page Close Time,08:32:57
Draganddrop Page Open Time,08:32:57
Checkbox Selected: '100',08:32:57
Checkbox Selected: 'Manzana',08:32:57
Correct Answer Selected: 100,08:33:12
Correct Answer Selected: 100.00,08:33:12
Correct Answer Selected: 'cien',08:33:12
Draganddrop Page Close Time,08:33:13
Parte 5,08:33:13
Pedagogical Page Open Time,08:33:13
Pedagogical Page Close Time,08:33:13
Pedagogical2 Page Open Time,08:33:13
Pedagogical2 Page Close Time,08:33:14
Parte 6,08:33:14
Pedagogical Page Open Time,08:33:14
Pedagogical Page Close Time,08:33:15

"Modulo 1, Leccion 4",
Parte 1,08:33:24
Pedagogical Page Open Time,08:33:24
Pedagogical Page Close Time,08:33:28
Draganddrop Page Open Time,08:33:28
Correct Answer Selected: Entero,08:33:37
Correct Answer Selected: Flotante,08:33:37
Correct Answer Selected: Cadena,08:33:37
Draganddrop Page Close Time,08:33:38
Parte 2,08:33:38
Pedagogical Page Open Time,08:33:38
Pedagogical Page Close Time,08:33:38
Draganddrop Page Open Time,08:33:38
Correct Drop Event: print('Nosotros somos los campeones amigos'),08:33:54
Correct Drop Event: print('Y seguiremos luchando hasta el final'),08:33:54
Correct Drop Event: print('Somos los campeones'),08:33:54
Draganddrop Page Close Time,08:33:55
Parte 3,08:33:55
Pedagogical Page Open Time,08:33:55
Pedagogical Page Close Time,08:33:56
Completeblankspace Page Open Time,08:33:56
Completeblankspace Page Close Time,08:34:02
Parte 4,08:34:02
Pedagogical Page Open Time,08:34:02
Correct Answer Selected: print,08:34:02
Pedagogical Page Close Time,08:34:03
Draganddrop Page Open Time,08:34:03
Correct Answer Selected: sep,08:34:11
Correct Answer Selected: '-',08:34:11
Draganddrop Page Close Time,08:34:12
Parte 5,08:34:12
Pedagogical Page Open Time,08:34:12
Pedagogical Page Close Time,08:34:12
Draganddrop Page Open Time,08:34:12
"Incorrect Answer Selected: <Espacio para respuesta> Outputs a message 
print('Have a good day!')",08:34:13
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",08:34:19
Draganddrop Page Close Time,08:34:20
Parte 6,08:34:20
Pedagogical Page Open Time,08:34:20
Pedagogical Page Close Time,08:34:21
Pedagogical2 Page Open Time,08:34:21
Pedagogical2 Page Close Time,08:34:22
Parte 7,08:34:22
Pedagogical Page Open Time,08:34:22
Pedagogical Page Close Time,08:34:23
Pedagogical2 Page Open Time,08:34:23
Pedagogical2 Page Close Time,08:34:25

"Modulo 1, Leccion 5",
Parte 1,08:34:29
Pedagogical2 Page Open Time,08:34:29
Pedagogical2 Page Close Time,08:34:33
Parte 2,08:34:33
Pedagogical Page Open Time,08:34:33
Pedagogical Page Close Time,08:34:34
Pedagogical2 Page Open Time,08:34:34
Pedagogical2 Page Close Time,08:34:35
Parte 3,08:34:35
Multiplechoice Page Open Time,08:34:35
Checkbox Selected: valor.,08:34:39
Multiplechoice Page Close Time,08:34:40
Draganddrop Page Open Time,08:34:40
Draganddrop Page Close Time,08:34:47
Parte 4,08:34:47
Pedagogical Page Open Time,08:34:47
Correct Drop Event: edad,08:34:47
Correct Drop Event: 18,08:34:47
Pedagogical Page Close Time,08:34:48
Completeblankspace Page Open Time,08:34:48
Correct Answer Selected: 2028,08:34:55
Completeblankspace Page Close Time,08:34:56
