"Modulo 1, Leccion 1",
Parte 1,17:25:06
Pedagogical Page Open Time,17:25:06
Pedagogical Page Close Time,17:25:08
Multiplechoice Page Open Time,17:25:08
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:25:10
Multiplechoice Page Close Time,17:25:11
Parte 2,17:25:11
Pedagogical Page Open Time,17:25:11
Pedagogical Page Close Time,17:25:14
Pedagogical2 Page Open Time,17:25:14
Pedagogical2 Page Close Time,17:25:14
Parte 3,17:25:14
Pedagogical Page Open Time,17:25:14
Pedagogical Page Close Time,17:25:15
Multiplechoice Page Open Time,17:25:15
Checkbox Selected: Verdadero,17:25:18
Multiplechoice Page Close Time,17:25:19
Parte 4,17:25:19
Draganddrop Page Open Time,17:25:19
Draganddrop Page Close Time,17:25:21
Pedagogical Page Open Time,17:25:21
Correct Answer Selected: print(729),17:25:21
Pedagogical Page Close Time,17:25:22
Parte 5,17:25:22
Multiplechoice Page Open Time,17:25:22
Checkbox Selected: comillas '' ,17:25:25
Multiplechoice Page Close Time,17:25:26
Pedagogical Page Open Time,17:25:26
Pedagogical Page Close Time,17:25:26
Parte 6,17:25:26
Pedagogical Page Open Time,17:25:26
Pedagogical Page Close Time,17:25:27

