"Modulo 1, Leccion 1",
Parte 1,21:23:17
Pedagogical Page Open Time,21:23:17
Pedagogical Page Close Time,21:23:19
Multiplechoice Page Open Time,21:23:19
Multiplechoice Page Close Time,21:23:22
Parte 2,21:23:22
Pedagogical Page Open Time,21:23:22
Parte 1,21:23:22
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,21:23:22
Pedagogical Page Close Time,21:23:25
Pedagogical2 Page Open Time,21:23:25
Pedagogical2 Page Close Time,21:23:26
Parte 3,21:23:26
Pedagogical Page Open Time,21:23:26
Pedagogical Page Close Time,21:23:27
Multiplechoice Page Open Time,21:23:27
Checkbox Selected: Verdadero,21:23:29
Multiplechoice Page Close Time,21:23:30
Parte 4,21:23:30
Draganddrop Page Open Time,21:23:30
Correct Answer Selected: print(729),21:23:33
Draganddrop Page Close Time,21:23:34
Pedagogical Page Open Time,21:23:34
Pedagogical Page Close Time,21:23:34
Parte 5,21:23:34
Multiplechoice Page Open Time,21:23:34
Checkbox Selected: comillas '' ,21:23:37
Multiplechoice Page Close Time,21:23:38
Pedagogical Page Open Time,21:23:38
Pedagogical Page Close Time,21:23:39
Parte 6,21:23:39
Pedagogical Page Open Time,21:23:39
Pedagogical Page Close Time,21:23:39

