"Modulo 1, Leccion 1",
Parte 1,17:49:32
Pedagogical Page Open Time,17:49:32
Pedagogical Page Close Time,17:49:39
Multiplechoice Page Open Time,17:49:39
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:49:42
Multiplechoice Page Close Time,17:49:44
Parte 2,17:49:44
Pedagogical Page Open Time,17:49:44
Pedagogical Page Close Time,17:49:47
Pedagogical2 Page Open Time,17:49:47
Pedagogical2 Page Close Time,17:49:48
Parte 3,17:49:48
Pedagogical Page Open Time,17:49:48
Pedagogical Page Close Time,17:49:48
Multiplechoice Page Open Time,17:49:48
Checkbox Selected: Verdadero,17:49:55
Multiplechoice Page Close Time,17:49:58
Parte 4,17:49:58
Draganddrop Page Open Time,17:49:58
Correct Answer Selected: print(729),17:50:02
Draganddrop Page Close Time,17:50:04
Pedagogical Page Open Time,17:50:04
Pedagogical Page Close Time,17:50:05
Parte 5,17:50:05
Multiplechoice Page Open Time,17:50:05
Checkbox Selected: comillas '' ,17:50:11
Multiplechoice Page Close Time,17:50:13
Pedagogical Page Open Time,17:50:14
Pedagogical Page Close Time,17:50:15
Parte 6,17:50:15
Pedagogical Page Open Time,17:50:15
Pedagogical Page Close Time,17:50:16

