"Modulo 1, Leccion 1",
Parte 1,17:59:31
Pedagogical Page Open Time,17:59:31
Pedagogical Page Close Time,17:59:37
Multiplechoice Page Open Time,17:59:37
Checkbox Selected: Un lenguaje utilizado por las maquinas para comunicarse con los extraterrestres.,17:59:43
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:59:47
Multiplechoice Page Close Time,17:59:50
Parte 2,17:59:50
Pedagogical Page Open Time,17:59:50
Pedagogical Page Close Time,17:59:55
Pedagogical2 Page Open Time,17:59:55
Pedagogical2 Page Close Time,17:59:56
Parte 3,17:59:56
Pedagogical Page Open Time,17:59:56
Pedagogical Page Close Time,17:59:56
Multiplechoice Page Open Time,17:59:56
Checkbox Selected: Verdadero,17:59:58
Multiplechoice Page Close Time,18:00:00
Parte 4,18:00:00
Draganddrop Page Open Time,18:00:00
Correct Answer Selected: print(729),18:00:04
Draganddrop Page Close Time,18:00:05
Pedagogical Page Open Time,18:00:05
Pedagogical Page Close Time,18:00:06
Parte 5,18:00:06
Multiplechoice Page Open Time,18:00:06
Checkbox Selected: comillas '' ,18:00:09
Multiplechoice Page Close Time,18:00:10
Pedagogical Page Open Time,18:00:10
Pedagogical Page Close Time,18:00:11
Parte 6,18:00:11
Pedagogical Page Open Time,18:00:11
Pedagogical Page Close Time,18:00:12

