"Modulo 1, Leccion 1",
Parte 1,09:26:00
Pedagogical Page Open Time,09:26:00
Pedagogical Page Close Time,09:26:01
Multiplechoice Page Open Time,09:26:01
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:26:04
Multiplechoice Page Close Time,09:26:05
Parte 2,09:26:05
Pedagogical Page Open Time,09:26:05
Pedagogical Page Close Time,09:26:08
Pedagogical2 Page Open Time,09:26:08
Pedagogical2 Page Close Time,09:26:08
Parte 3,09:26:08
Pedagogical Page Open Time,09:26:08
Pedagogical Page Close Time,09:26:09
Multiplechoice Page Open Time,09:26:09
Checkbox Selected: Verdadero,09:26:11
Multiplechoice Page Close Time,09:26:12
Parte 4,09:26:12
Draganddrop Page Open Time,09:26:12
Correct Answer Selected: print(729),09:26:14
Draganddrop Page Close Time,09:26:15
Pedagogical Page Open Time,09:26:15
Pedagogical Page Close Time,09:26:15
Parte 5,09:26:16
Multiplechoice Page Open Time,09:26:16
Multiplechoice Page Close Time,09:26:19
Pedagogical Page Open Time,09:26:19
Checkbox Selected: comillas '' ,09:26:19
Pedagogical Page Close Time,09:26:20
Parte 6,09:26:20
Pedagogical Page Open Time,09:26:20
Pedagogical Page Close Time,09:26:21

