"Modulo 1, Leccion 1",
Parte 1,13:20:38
Pedagogical Page Open Time,13:20:38
Pedagogical Page Close Time,13:20:40
Multiplechoice Page Open Time,13:20:40
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,13:20:42
Multiplechoice Page Close Time,13:20:43
Parte 2,13:20:43
Pedagogical Page Open Time,13:20:43
Pedagogical Page Close Time,13:20:47
Pedagogical2 Page Open Time,13:20:47
Pedagogical2 Page Close Time,13:20:48
Parte 3,13:20:48
Pedagogical Page Open Time,13:20:48
Pedagogical Page Close Time,13:20:48
Multiplechoice Page Open Time,13:20:48
Checkbox Selected: Verdadero,13:20:51
Multiplechoice Page Close Time,13:20:52
Parte 4,13:20:52
Draganddrop Page Open Time,13:20:52
Draganddrop Page Close Time,13:20:56
Pedagogical Page Open Time,13:20:56
Correct Answer Selected: print(729),13:20:56
Pedagogical Page Close Time,13:20:57
Parte 5,13:20:57
Multiplechoice Page Open Time,13:20:57
Multiplechoice Page Close Time,13:21:00
Pedagogical Page Open Time,13:21:00
Checkbox Selected: comillas '' ,13:21:00
Pedagogical Page Close Time,13:21:01
Parte 6,13:21:01
Pedagogical Page Open Time,13:21:01
Pedagogical Page Close Time,13:21:01

