"Modulo 1, Leccion 1",
Parte 1,09:48:34
Pedagogical Page Open Time,09:48:34
Pedagogical Page Close Time,09:48:40
Multiplechoice Page Open Time,09:48:40
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:48:43
Multiplechoice Page Close Time,09:48:46
Parte 2,09:48:46
Pedagogical Page Open Time,09:48:46
Pedagogical Page Close Time,09:48:49
Pedagogical2 Page Open Time,09:48:49
Pedagogical2 Page Close Time,09:48:49
Parte 3,09:48:49
Pedagogical Page Open Time,09:48:49
Pedagogical Page Close Time,09:48:50
Multiplechoice Page Open Time,09:48:50
Checkbox Selected: Verdadero,09:48:52
Multiplechoice Page Close Time,09:48:54
Parte 4,09:48:54
Draganddrop Page Open Time,09:48:54
Correct Answer Selected: print(729),09:48:57
Draganddrop Page Close Time,09:49:00
Pedagogical Page Open Time,09:49:00
Pedagogical Page Close Time,09:49:01
Parte 5,09:49:01
Multiplechoice Page Open Time,09:49:01
Checkbox Selected: comillas '' ,09:49:04
Multiplechoice Page Close Time,09:49:05
Pedagogical Page Open Time,09:49:05
Pedagogical Page Close Time,09:49:08
Parte 6,09:49:08
Pedagogical Page Open Time,09:49:08
Pedagogical Page Close Time,09:49:08

