"Modulo 1, Leccion 1",
Parte 1,13:23:44
Pedagogical Page Open Time,13:23:44
Pedagogical Page Close Time,13:23:46
Multiplechoice Page Open Time,13:23:46
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,13:23:49
Multiplechoice Page Close Time,13:23:50
Parte 2,13:23:50
Pedagogical Page Open Time,13:23:50
Pedagogical Page Close Time,13:23:52
Pedagogical2 Page Open Time,13:23:52
Pedagogical2 Page Close Time,13:23:53
Parte 3,13:23:53
Pedagogical Page Open Time,13:23:53
Pedagogical Page Close Time,13:23:54
Multiplechoice Page Open Time,13:23:54
Checkbox Selected: Verdadero,13:23:56
Multiplechoice Page Close Time,13:23:57
Parte 4,13:23:57
Draganddrop Page Open Time,13:23:57
Draganddrop Page Close Time,13:24:00
Pedagogical Page Open Time,13:24:00
Correct Answer Selected: print(729),13:24:00
Pedagogical Page Close Time,13:24:01
Parte 5,13:24:01
Multiplechoice Page Open Time,13:24:01
Checkbox Selected: comillas '' ,13:24:03
Multiplechoice Page Close Time,13:24:04
Pedagogical Page Open Time,13:24:04
Pedagogical Page Close Time,13:24:04
Parte 6,13:24:04
Pedagogical Page Open Time,13:24:04
Pedagogical Page Close Time,13:24:05

