"Modulo 1, Leccion 1",
Parte 1,21:33:30
Pedagogical Page Open Time,21:33:30
Pedagogical Page Close Time,21:33:31
Multiplechoice Page Open Time,21:33:31
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,21:33:33
Multiplechoice Page Close Time,21:33:34
Parte 2,21:33:34
Pedagogical Page Open Time,21:33:34
Pedagogical Page Close Time,21:33:37
Pedagogical2 Page Open Time,21:33:37
Pedagogical2 Page Close Time,21:33:38
Parte 3,21:33:38
Pedagogical Page Open Time,21:33:38
Pedagogical Page Close Time,21:33:39
Multiplechoice Page Open Time,21:33:39
Checkbox Selected: Verdadero,21:33:41
Multiplechoice Page Close Time,21:33:42
Parte 4,21:33:42
Draganddrop Page Open Time,21:33:42
Draganddrop Page Close Time,21:33:44
Pedagogical Page Open Time,21:33:44
Correct Answer Selected: print(729),21:33:44
Pedagogical Page Close Time,21:33:45
Parte 5,21:33:45
Multiplechoice Page Open Time,21:33:45
Multiplechoice Page Close Time,21:33:48
Pedagogical Page Open Time,21:33:48
Checkbox Selected: comillas '' ,21:33:48
Pedagogical Page Close Time,21:33:49
Parte 6,21:33:49
Pedagogical Page Open Time,21:33:49
Pedagogical Page Close Time,21:33:50

