"Modulo 1, Leccion 1",
Parte 1,10:30:51
Pedagogical Page Open Time,10:30:51
Pedagogical Page Close Time,10:30:53
Multiplechoice Page Open Time,10:30:53
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,10:30:55
Multiplechoice Page Close Time,10:30:56
Parte 2,10:30:56
Pedagogical Page Open Time,10:30:56
Pedagogical Page Close Time,10:40:40
Pedagogical2 Page Open Time,10:40:40
Pedagogical2 Page Close Time,10:40:41
Parte 3,10:40:41
Pedagogical Page Open Time,10:40:41
Pedagogical Page Close Time,10:40:41
Multiplechoice Page Open Time,10:40:41
Checkbox Selected: Verdadero,10:40:44
Multiplechoice Page Close Time,10:40:45
Parte 4,10:40:45
Draganddrop Page Open Time,10:40:45
Draganddrop Page Close Time,10:40:50
Pedagogical Page Open Time,10:40:50
Correct Answer Selected: print(729),10:40:50
Pedagogical Page Close Time,10:40:51
Parte 5,10:40:51
Multiplechoice Page Open Time,10:40:51
Multiplechoice Page Close Time,10:40:54
Pedagogical Page Open Time,10:40:54
Checkbox Selected: comillas '' ,10:40:54
Pedagogical Page Close Time,10:40:55
Parte 6,10:40:55
Pedagogical Page Open Time,10:40:55
Pedagogical Page Close Time,10:40:55

"Modulo 1, Leccion 2",
Parte 1,10:41:13
Pedagogical Page Open Time,10:41:13
Pedagogical Page Close Time,10:41:14
Pedagogical2 Page Open Time,10:41:14
Pedagogical2 Page Close Time,10:41:16
Parte 2,10:41:16
Completeblankspace Page Open Time,10:41:16
Correct Answer Selected: +,10:41:20
Completeblankspace Page Close Time,10:41:21
Pedagogical Page Open Time,10:41:21
Pedagogical Page Close Time,10:41:21
Parte 3,10:41:21
Draganddrop Page Open Time,10:41:21
Correct Answer Selected: print(42 * 3),10:41:25
Draganddrop Page Close Time,10:41:26
Pedagogical Page Open Time,10:41:26
Pedagogical Page Close Time,10:41:27
Parte 4,10:41:27
Multiplechoice Page Open Time,10:41:27
Correct Answer Selected: 4.0,10:41:29
Multiplechoice Page Close Time,10:41:30
Pedagogical Page Open Time,10:41:30
Pedagogical Page Close Time,10:41:30
Parte 5,10:41:30
Draganddrop Page Open Time,10:41:30
Correct Answer Selected: Entero:2,10:41:34
Correct Answer Selected: Flotante:3.14,10:41:34
Draganddrop Page Close Time,10:41:35
Pedagogical Page Open Time,10:41:35
Pedagogical Page Close Time,10:41:35
Parte 6,10:41:35
Pedagogical Page Open Time,10:41:35
Pedagogical Page Close Time,10:41:36
Pedagogical2 Page Open Time,10:41:36
Pedagogical2 Page Close Time,10:41:37
Parte 7,10:41:37
Pedagogical Page Open Time,10:41:37
Pedagogical Page Close Time,10:41:37

"Modulo 1, Leccion 3",
Parte 1,10:41:44
Pedagogical Page Open Time,10:41:44
Pedagogical Page Close Time,10:41:45
Pedagogical2 Page Open Time,10:41:45
Pedagogical2 Page Close Time,10:41:46
Parte 2,10:41:46
Multiplechoice Page Open Time,10:41:46
Checkbox Selected: 'Viernes',10:41:49
Checkbox Selected: 'The Lord of the Rings',10:41:49
Multiplechoice Page Close Time,10:41:50
Pedagogical Page Open Time,10:41:50
Pedagogical Page Close Time,10:41:51
Parte 3,10:41:51
Draganddrop Page Open Time,10:41:51
Draganddrop Page Close Time,10:41:56
Pedagogical Page Open Time,10:41:56
Correct Drop Event: Water,10:41:56
Correct Drop Event: +,10:41:56
Correct Drop Event: Park,10:41:56
Pedagogical Page Close Time,10:41:57
Parte 4,10:41:57
Multiplechoice Page Open Time,10:41:57
Checkbox Selected: '100',10:42:01
Checkbox Selected: 'Manzana',10:42:01
Multiplechoice Page Close Time,10:42:02
Draganddrop Page Open Time,10:42:02
Draganddrop Page Close Time,10:42:08
Parte 5,10:42:08
Pedagogical Page Open Time,10:42:08
Correct Answer Selected: 100,10:42:08
Correct Answer Selected: 100.00,10:42:08
Correct Answer Selected: 'cien',10:42:08
Pedagogical Page Close Time,10:42:09
Pedagogical2 Page Open Time,10:42:09
Pedagogical2 Page Close Time,10:42:09
Parte 6,10:42:09
Pedagogical Page Open Time,10:42:09
Pedagogical Page Close Time,10:42:10

"Modulo 1, Leccion 4",
Parte 1,10:42:16
Pedagogical Page Open Time,10:42:16
Pedagogical Page Close Time,10:42:18
Draganddrop Page Open Time,10:42:18
Draganddrop Page Close Time,10:42:24
Parte 2,10:42:24
Pedagogical Page Open Time,10:42:24
Pedagogical Page Close Time,10:42:24
Draganddrop Page Open Time,10:42:24
Correct Answer Selected: Entero,10:42:24
Correct Answer Selected: Flotante,10:42:24
Correct Answer Selected: Cadena,10:42:24
