"Modulo 1, Leccion 1",
Parte 1,21:25:21
Pedagogical Page Open Time,21:25:21
Pedagogical Page Close Time,21:25:23
Multiplechoice Page Open Time,21:25:23
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,21:25:26
Multiplechoice Page Close Time,21:25:27
Parte 2,21:25:27
Pedagogical Page Open Time,21:25:27
Pedagogical Page Close Time,21:25:30
Pedagogical2 Page Open Time,21:25:30
Pedagogical2 Page Close Time,21:25:31
Parte 3,21:25:31
Pedagogical Page Open Time,21:25:31
Pedagogical Page Close Time,21:25:31
Multiplechoice Page Open Time,21:25:31
Checkbox Selected: Verdadero,21:25:34
Multiplechoice Page Close Time,21:25:35
Parte 4,21:25:35
Draganddrop Page Open Time,21:25:35
Correct Answer Selected: print(729),21:25:38
Draganddrop Page Close Time,21:25:39
Pedagogical Page Open Time,21:25:39
Pedagogical Page Close Time,21:25:40
Parte 5,21:25:40
Multiplechoice Page Open Time,21:25:40
Multiplechoice Page Close Time,21:25:43
Pedagogical Page Open Time,21:25:43
Checkbox Selected: comillas '' ,21:25:43
Pedagogical Page Close Time,21:25:44
Parte 6,21:25:44
Pedagogical Page Open Time,21:25:44
Pedagogical Page Close Time,21:25:45

