"Modulo 1, Leccion 1",
Parte 1,14:23:41
Pedagogical Page Open Time,14:23:41
Pedagogical Page Close Time,14:23:42
Multiplechoice Page Open Time,14:23:42
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,14:23:44
Multiplechoice Page Close Time,14:23:45
Parte 2,14:23:45
Pedagogical Page Open Time,14:23:45
Pedagogical Page Close Time,14:23:49
Pedagogical2 Page Open Time,14:23:49
Pedagogical2 Page Close Time,14:23:50
Parte 3,14:23:50
Pedagogical Page Open Time,14:23:50
Pedagogical Page Close Time,14:23:51
Multiplechoice Page Open Time,14:23:51
Checkbox Selected: Verdadero,14:23:54
Multiplechoice Page Close Time,14:23:55
Parte 4,14:23:55
Draganddrop Page Open Time,14:23:55
Correct Answer Selected: print(729),14:23:58
Draganddrop Page Close Time,14:23:59
Pedagogical Page Open Time,14:23:59
Pedagogical Page Close Time,14:24:00
Parte 5,14:24:00
Multiplechoice Page Open Time,14:24:00
Checkbox Selected: comillas '' ,14:24:03
Multiplechoice Page Close Time,14:24:05
Pedagogical Page Open Time,14:24:05
Pedagogical Page Close Time,14:24:06
Parte 6,14:24:06
Pedagogical Page Open Time,14:24:06
Pedagogical Page Close Time,14:24:07

