"Modulo 1, Leccion 1",
Parte 1,22:14:18
Pedagogical Page Open Time,22:14:18
Pedagogical Page Close Time,22:14:24
Multiplechoice Page Open Time,22:14:24
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,22:14:26
Multiplechoice Page Close Time,22:14:29
Parte 2,22:14:29
Pedagogical Page Open Time,22:14:29
Pedagogical Page Close Time,22:14:32
Pedagogical2 Page Open Time,22:14:32
Pedagogical2 Page Close Time,22:14:32
Parte 3,22:14:32
Pedagogical Page Open Time,22:14:32
Pedagogical Page Close Time,22:14:33
Multiplechoice Page Open Time,22:14:33
Checkbox Selected: Verdadero,22:14:35
Multiplechoice Page Close Time,22:14:38
Parte 4,22:14:38
Draganddrop Page Open Time,22:14:38
Correct Answer Selected: print(729),22:14:40
Draganddrop Page Close Time,22:14:42
Pedagogical Page Open Time,22:14:42
Pedagogical Page Close Time,22:14:43
Parte 5,22:14:43
Multiplechoice Page Open Time,22:14:43
Checkbox Selected: comillas '' ,22:14:45
Multiplechoice Page Close Time,22:14:47
Pedagogical Page Open Time,22:14:47
Pedagogical Page Close Time,22:14:48
Parte 6,22:14:48
Pedagogical Page Open Time,22:14:48
Pedagogical Page Close Time,22:14:50

