"Modulo 1, Leccion 1",
Parte 1,09:32:14
Pedagogical Page Open Time,09:32:14
Pedagogical Page Close Time,09:32:16
Multiplechoice Page Open Time,09:32:16
Multiplechoice Page Close Time,09:32:18
Parte 2,09:32:18
Pedagogical Page Open Time,09:32:18
Parte 1,09:32:18
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:32:18
Pedagogical Page Close Time,09:32:22
Pedagogical2 Page Open Time,09:32:22
Pedagogical2 Page Close Time,09:32:22
Parte 3,09:32:22
Pedagogical Page Open Time,09:32:22
Pedagogical Page Close Time,09:32:23
Multiplechoice Page Open Time,09:32:23
Multiplechoice Page Close Time,09:32:26
Parte 4,09:32:26
Draganddrop Page Open Time,09:32:26
Parte 3,09:32:26
Checkbox Selected: Verdadero,09:32:26
Draganddrop Page Close Time,09:32:30
Pedagogical Page Open Time,09:32:30
Pedagogical Page Close Time,09:32:30
Parte 5,09:32:30
Multiplechoice Page Open Time,09:32:30
Parte 4,09:32:30
Correct Answer Selected: print(729),09:32:30
Multiplechoice Page Close Time,09:32:33
Pedagogical Page Open Time,09:32:33
Parte 5,09:32:33
Checkbox Selected: comillas '' ,09:32:33
Pedagogical Page Close Time,09:32:34
Parte 6,09:32:34
Pedagogical Page Open Time,09:32:34
Pedagogical Page Close Time,09:32:35

