"Modulo 1, Leccion 1",
Parte 1,14:32:44
Pedagogical Page Open Time,14:32:44
Pedagogical Page Close Time,14:33:00
Multiplechoice Page Open Time,14:33:00
Multiplechoice Page Close Time,14:33:03
Parte 2,14:33:03
Pedagogical Page Open Time,14:33:03
Parte 1,14:33:03
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,14:33:03
Pedagogical Page Close Time,14:33:06
Pedagogical2 Page Open Time,14:33:06
Pedagogical2 Page Close Time,14:33:06
Parte 3,14:33:06
Pedagogical Page Open Time,14:33:06
Pedagogical Page Close Time,14:33:07
Multiplechoice Page Open Time,14:33:07
Checkbox Selected: Verdadero,14:33:10
Multiplechoice Page Close Time,14:33:11
Parte 4,14:33:11
Draganddrop Page Open Time,14:33:11
Draganddrop Page Close Time,14:33:16
Pedagogical Page Open Time,14:33:16
Correct Answer Selected: print(729),14:33:16
Pedagogical Page Close Time,14:33:17
Parte 5,14:33:17
Multiplechoice Page Open Time,14:33:17
Checkbox Selected: comillas '' ,14:33:23
Multiplechoice Page Close Time,14:33:25
Pedagogical Page Open Time,14:33:25
Pedagogical Page Close Time,14:33:50
Parte 6,14:33:50
Pedagogical Page Open Time,14:33:50
Pedagogical Page Close Time,14:33:51

