"Modulo 1, Leccion 1",
Parte 1,10:30:12
Pedagogical Page Open Time,10:30:12
Pedagogical Page Close Time,10:30:14
Multiplechoice Page Open Time,10:30:14
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,10:30:17
Multiplechoice Page Close Time,10:30:18
Parte 2,10:30:18
Pedagogical Page Open Time,10:30:18
Pedagogical Page Close Time,10:30:22
Pedagogical2 Page Open Time,10:30:22
Pedagogical2 Page Close Time,10:30:22
Parte 3,10:30:22
Pedagogical Page Open Time,10:30:22
Pedagogical Page Close Time,10:30:23
Multiplechoice Page Open Time,10:30:23
Multiplechoice Page Close Time,10:30:29
Parte 4,10:30:29
Draganddrop Page Open Time,10:30:29
Checkbox Selected: Verdadero,10:30:29
Correct Answer Selected: print(729),10:30:32
Draganddrop Page Close Time,10:30:33
Pedagogical Page Open Time,10:30:33
Pedagogical Page Close Time,10:30:33
Parte 5,10:30:33
Multiplechoice Page Open Time,10:30:33
Multiplechoice Page Close Time,10:30:37
Pedagogical Page Open Time,10:30:37
Checkbox Selected: comillas '' ,10:30:37
Pedagogical Page Close Time,10:30:38
Parte 6,10:30:38
Pedagogical Page Open Time,10:30:38
Pedagogical Page Close Time,10:30:38

