"Modulo 1, Leccion 1",
Parte 1,18:07:34
Pedagogical Page Open Time,18:07:34
Pedagogical Page Close Time,18:07:35
Multiplechoice Page Open Time,18:07:35
Multiplechoice Page Close Time,18:07:38
Parte 2,18:07:38
Pedagogical Page Open Time,18:07:38
Parte 1,18:07:38
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,18:07:38
Pedagogical Page Close Time,18:07:41
Pedagogical2 Page Open Time,18:07:41
Pedagogical2 Page Close Time,18:07:42
Parte 3,18:07:42
Pedagogical Page Open Time,18:07:42
Pedagogical Page Close Time,18:07:42
Multiplechoice Page Open Time,18:07:42
Checkbox Selected: Verdadero,18:07:45
Multiplechoice Page Close Time,18:07:46
Parte 4,18:07:46
Draganddrop Page Open Time,18:07:46
Draganddrop Page Close Time,18:07:49
Pedagogical Page Open Time,18:07:49
Correct Answer Selected: print(729),18:07:49
Pedagogical Page Close Time,18:07:50
Parte 5,18:07:50
Multiplechoice Page Open Time,18:07:50
Checkbox Selected: comillas '' ,18:07:52
Multiplechoice Page Close Time,18:07:53
Pedagogical Page Open Time,18:07:53
Pedagogical Page Close Time,18:07:53
Parte 6,18:07:53
Pedagogical Page Open Time,18:07:53
Pedagogical Page Close Time,18:07:54

