"Modulo 1, Leccion 1",
Parte 1,17:31:52
Pedagogical Page Open Time,17:31:52
Pedagogical Page Close Time,17:31:54
Multiplechoice Page Open Time,17:31:54
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:31:55
Multiplechoice Page Close Time,17:31:56
Parte 2,17:31:56
Pedagogical Page Open Time,17:31:56
Pedagogical Page Close Time,17:32:01
Pedagogical2 Page Open Time,17:32:01
Pedagogical2 Page Close Time,17:32:01
Parte 3,17:32:01
Pedagogical Page Open Time,17:32:01
Pedagogical Page Close Time,17:32:02
Multiplechoice Page Open Time,17:32:02
Checkbox Selected: Verdadero,17:32:04
Multiplechoice Page Close Time,17:32:05
Parte 4,17:32:05
Draganddrop Page Open Time,17:32:05
Draganddrop Page Close Time,17:32:07
Pedagogical Page Open Time,17:32:07
Correct Answer Selected: print(729),17:32:07
Pedagogical Page Close Time,17:32:08
Parte 5,17:32:08
Multiplechoice Page Open Time,17:32:08
Multiplechoice Page Close Time,17:32:10
Pedagogical Page Open Time,17:32:10
Pedagogical Page Close Time,17:32:10
Parte 6,17:32:10
Pedagogical Page Open Time,17:32:10
Pedagogical Page Close Time,17:32:10
Parte 5,17:32:10
Checkbox Selected: comillas '' ,17:32:10

