"Modulo 1, Leccion 1",
Parte 1,14:05:47
Pedagogical Page Open Time,14:05:47
Pedagogical Page Close Time,14:05:49
Multiplechoice Page Open Time,14:05:49
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,14:05:52
Multiplechoice Page Close Time,14:05:53
Parte 2,14:05:53
Pedagogical Page Open Time,14:05:53
Pedagogical Page Close Time,14:05:58
Pedagogical2 Page Open Time,14:05:58
Pedagogical2 Page Close Time,14:05:59
Parte 3,14:05:59
Pedagogical Page Open Time,14:05:59
Pedagogical Page Close Time,14:05:59
Multiplechoice Page Open Time,14:05:59
Checkbox Selected: Verdadero,14:06:03
Multiplechoice Page Close Time,14:06:08
Parte 4,14:06:08
Draganddrop Page Open Time,14:06:08
Correct Answer Selected: print(729),14:06:11
Draganddrop Page Close Time,14:06:12
Pedagogical Page Open Time,14:06:12
Pedagogical Page Close Time,14:06:13
Parte 5,14:06:13
Multiplechoice Page Open Time,14:06:13
Checkbox Selected: comillas '' ,14:06:19
Multiplechoice Page Close Time,14:06:20
Pedagogical Page Open Time,14:06:20
Pedagogical Page Close Time,14:06:20
Parte 6,14:06:20
Pedagogical Page Open Time,14:06:20
Pedagogical Page Close Time,14:06:21

"Modulo 1, Leccion 1",
Parte 1,14:06:52
Pedagogical Page Open Time,14:06:52
Pedagogical Page Close Time,14:06:54
Multiplechoice Page Open Time,14:06:54
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,14:06:56
Multiplechoice Page Close Time,14:06:57
Parte 2,14:06:57
Pedagogical Page Open Time,14:06:57
Pedagogical Page Close Time,14:06:58
Pedagogical2 Page Open Time,14:06:58
Pedagogical2 Page Close Time,14:06:59
Parte 3,14:06:59
Pedagogical Page Open Time,14:06:59
Pedagogical Page Close Time,14:06:59
Multiplechoice Page Open Time,14:07:00
Multiplechoice Page Close Time,14:07:03
Checkbox Selected: Verdadero,14:07:03
Parte 4,14:07:04
Draganddrop Page Open Time,14:07:04
Draganddrop Page Close Time,14:07:06
Correct Answer Selected: print(729),14:07:06
Pedagogical Page Open Time,14:07:07
Pedagogical Page Close Time,14:07:07
Parte 5,14:07:07
Multiplechoice Page Open Time,14:07:07
Checkbox Selected: comillas '' ,14:07:10
Multiplechoice Page Close Time,14:07:11
Pedagogical Page Open Time,14:07:11
Pedagogical Page Close Time,14:07:12
Parte 6,14:07:12
Pedagogical Page Open Time,14:07:12
Pedagogical Page Close Time,14:07:12

