"Modulo 1, Leccion 1",
Parte 1,13:07:59
Pedagogical Page Open Time,13:07:59
Pedagogical Page Close Time,13:08:19
Multiplechoice Page Open Time,13:08:19
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,13:08:25
Multiplechoice Page Close Time,13:08:31
Parte 2,13:08:31
Pedagogical Page Open Time,13:08:31
Pedagogical Page Close Time,13:08:34
Pedagogical2 Page Open Time,13:08:34
Pedagogical2 Page Close Time,13:08:35
Parte 3,13:08:35
Pedagogical Page Open Time,13:08:35
Pedagogical Page Close Time,13:08:36
Multiplechoice Page Open Time,13:08:36
Checkbox Selected: Verdadero,13:08:42
Multiplechoice Page Close Time,13:08:45
Parte 4,13:08:45
Draganddrop Page Open Time,13:08:45
Correct Answer Selected: print(729),13:08:50
Draganddrop Page Close Time,13:08:53
Pedagogical Page Open Time,13:08:53
Pedagogical Page Close Time,13:08:54
Parte 5,13:08:54
Multiplechoice Page Open Time,13:08:54
Checkbox Selected: comillas '' ,13:09:01
Multiplechoice Page Close Time,13:09:03
Pedagogical Page Open Time,13:09:03
Pedagogical Page Close Time,13:09:04
Parte 6,13:09:04
Pedagogical Page Open Time,13:09:04
Pedagogical Page Close Time,13:09:06

"Modulo 1, Leccion 2",
Parte 1,13:11:31
Pedagogical Page Open Time,13:11:31
Pedagogical Page Close Time,13:11:45
Pedagogical2 Page Open Time,13:11:45
Pedagogical2 Page Close Time,13:11:47
Parte 2,13:11:47
Completeblankspace Page Open Time,13:11:47
Correct Answer Selected: +,13:11:50
Completeblankspace Page Close Time,13:11:51
Pedagogical Page Open Time,13:11:51
Pedagogical Page Close Time,13:11:52
Parte 3,13:11:52
Draganddrop Page Open Time,13:11:52
Correct Answer Selected: print(42 * 3),13:11:55
Draganddrop Page Close Time,13:11:56
Pedagogical Page Open Time,13:11:56
Pedagogical Page Close Time,13:11:56
Parte 4,13:11:56
Multiplechoice Page Open Time,13:11:56
Correct Answer Selected: 4.0,13:11:59
Multiplechoice Page Close Time,13:12:00
