"Modulo 1, Leccion 1",
Parte 1,14:26:28
Pedagogical Page Open Time,14:26:28
Pedagogical Page Close Time,14:26:30
Multiplechoice Page Open Time,14:26:30
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,14:26:32
Multiplechoice Page Close Time,14:26:33
Parte 2,14:26:33
Pedagogical Page Open Time,14:26:33
Pedagogical Page Close Time,14:26:36
Pedagogical2 Page Open Time,14:26:36
Pedagogical2 Page Close Time,14:26:37
Parte 3,14:26:37
Pedagogical Page Open Time,14:26:37
Pedagogical Page Close Time,14:26:38
Multiplechoice Page Open Time,14:26:38
Checkbox Selected: Verdadero,14:26:41
Multiplechoice Page Close Time,14:26:42
Parte 4,14:26:42
Draganddrop Page Open Time,14:26:42
Draganddrop Page Close Time,14:26:45
Pedagogical Page Open Time,14:26:45
Correct Answer Selected: print(729),14:26:45
Pedagogical Page Close Time,14:26:46
Parte 5,14:26:46
Multiplechoice Page Open Time,14:26:46
Multiplechoice Page Close Time,14:26:49
Pedagogical Page Open Time,14:26:49
Checkbox Selected: comillas '' ,14:26:49
Pedagogical Page Close Time,14:26:50
Parte 6,14:26:50
Pedagogical Page Open Time,14:26:50
Pedagogical Page Close Time,14:26:51

