"Modulo 1, Leccion 1",
Parte 1,12:36:22
Pedagogical Page Open Time,12:36:22
Pedagogical Page Close Time,12:36:23
Multiplechoice Page Open Time,12:36:23
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,12:36:25
Multiplechoice Page Close Time,12:36:26
Parte 2,12:36:26
Pedagogical Page Open Time,12:36:26
Pedagogical Page Close Time,12:36:30
Pedagogical2 Page Open Time,12:36:30
Pedagogical2 Page Close Time,12:36:30
Parte 3,12:36:30
Pedagogical Page Open Time,12:36:30
Pedagogical Page Close Time,12:36:31
Multiplechoice Page Open Time,12:36:31
Checkbox Selected: Verdadero,12:36:33
Multiplechoice Page Close Time,12:36:34
Parte 4,12:36:34
Draganddrop Page Open Time,12:36:34
Draganddrop Page Close Time,12:36:36
Pedagogical Page Open Time,12:36:36
Correct Answer Selected: print(729),12:36:36
Pedagogical Page Close Time,12:36:37
Parte 5,12:36:37
Multiplechoice Page Open Time,12:36:37
Checkbox Selected: comillas '' ,12:36:40
Multiplechoice Page Close Time,12:36:41
Pedagogical Page Open Time,12:36:41
Pedagogical Page Close Time,12:36:41
Parte 6,12:36:41
Pedagogical Page Open Time,12:36:41
Pedagogical Page Close Time,12:36:42

