"Modulo 1, Leccion 1",
Parte 1,14:37:44
Pedagogical Page Open Time,14:37:44
Pedagogical Page Close Time,14:37:45
Multiplechoice Page Open Time,14:37:45
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,14:37:47
Multiplechoice Page Close Time,14:37:48
Parte 2,14:37:48
Pedagogical Page Open Time,14:37:48
Pedagogical Page Close Time,14:37:51
Pedagogical2 Page Open Time,14:37:51
Pedagogical2 Page Close Time,14:37:51
Parte 3,14:37:51
Pedagogical Page Open Time,14:37:51
Pedagogical Page Close Time,14:37:51
Multiplechoice Page Open Time,14:37:51
Multiplechoice Page Close Time,14:37:54
Parte 4,14:37:54
Draganddrop Page Open Time,14:37:54
Parte 3,14:37:54
Checkbox Selected: Verdadero,14:37:54
Parte 4,14:37:57
Correct Answer Selected: print(729),14:37:57
Draganddrop Page Close Time,14:37:58
Pedagogical Page Open Time,14:37:58
Pedagogical Page Close Time,14:37:58
Parte 5,14:37:58
Multiplechoice Page Open Time,14:37:58
Multiplechoice Page Close Time,14:38:01
Pedagogical Page Open Time,14:38:01
Checkbox Selected: comillas '' ,14:38:01
Pedagogical Page Close Time,14:38:03
Parte 6,14:38:03
Pedagogical Page Open Time,14:38:03
Pedagogical Page Close Time,14:38:04

