"Modulo 1, Leccion 1",
Parte 1,13:18:41
Pedagogical Page Open Time,13:18:41
Pedagogical Page Close Time,13:18:44
Multiplechoice Page Open Time,13:18:44
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,13:18:46
Multiplechoice Page Close Time,13:18:47
Parte 2,13:18:47
Pedagogical Page Open Time,13:18:47
Pedagogical Page Close Time,13:18:50
Pedagogical2 Page Open Time,13:18:50
Pedagogical2 Page Close Time,13:18:51
Parte 3,13:18:51
Pedagogical Page Open Time,13:18:51
Pedagogical Page Close Time,13:18:51
Multiplechoice Page Open Time,13:18:51
Multiplechoice Page Close Time,13:18:54
Parte 4,13:18:54
Draganddrop Page Open Time,13:18:54
Parte 3,13:18:54
Checkbox Selected: Verdadero,13:18:54
Draganddrop Page Close Time,13:18:57
Pedagogical Page Open Time,13:18:57
Pedagogical Page Close Time,13:18:57
Parte 5,13:18:57
Multiplechoice Page Open Time,13:18:57
Parte 4,13:18:57
Correct Answer Selected: print(729),13:18:57
Multiplechoice Page Close Time,13:19:00
Pedagogical Page Open Time,13:19:00
Parte 5,13:19:00
Checkbox Selected: comillas '' ,13:19:00
Pedagogical Page Close Time,13:19:01
Parte 6,13:19:01
Pedagogical Page Open Time,13:19:01
Pedagogical Page Close Time,13:19:01

