"Modulo 1, Leccion 1",
Parte 1,09:21:12
Pedagogical Page Open Time,09:21:12
Pedagogical Page Close Time,09:21:19
Multiplechoice Page Open Time,09:21:19
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:21:21
Multiplechoice Page Close Time,09:21:23
Parte 2,09:21:23
Pedagogical Page Open Time,09:21:23
Pedagogical Page Close Time,09:21:25
Pedagogical2 Page Open Time,09:21:25
Pedagogical2 Page Close Time,09:21:26
Parte 3,09:21:26
Pedagogical Page Open Time,09:21:26
Pedagogical Page Close Time,09:21:26
Multiplechoice Page Open Time,09:21:26
Checkbox Selected: Verdadero,09:21:29
Multiplechoice Page Close Time,09:21:31
Parte 4,09:21:31
Draganddrop Page Open Time,09:21:31
Correct Answer Selected: print(729),09:21:33
Draganddrop Page Close Time,09:21:35
Pedagogical Page Open Time,09:21:35
Pedagogical Page Close Time,09:21:36
Parte 5,09:21:36
Multiplechoice Page Open Time,09:21:36
Checkbox Selected: comillas '' ,09:21:39
Multiplechoice Page Close Time,09:21:41
Pedagogical Page Open Time,09:21:41
Pedagogical Page Close Time,09:21:42
Parte 6,09:21:42
Pedagogical Page Open Time,09:21:42
Pedagogical Page Close Time,09:21:42

