"Modulo 1, Leccion 1",
Parte 1,17:38:51
Pedagogical Page Open Time,17:38:51
Pedagogical Page Close Time,17:38:52
Multiplechoice Page Open Time,17:38:52
Multiplechoice Page Close Time,17:38:55
Parte 2,17:38:55
Pedagogical Page Open Time,17:38:55
Parte 1,17:38:55
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,17:38:55
Pedagogical Page Close Time,17:38:58
Pedagogical2 Page Open Time,17:38:58
Pedagogical2 Page Close Time,17:38:59
Parte 3,17:38:59
Pedagogical Page Open Time,17:38:59
Pedagogical Page Close Time,17:39:00
Multiplechoice Page Open Time,17:39:00
Checkbox Selected: Verdadero,17:39:02
Multiplechoice Page Close Time,17:39:03
Parte 4,17:39:03
Draganddrop Page Open Time,17:39:03
Draganddrop Page Close Time,17:39:06
Pedagogical Page Open Time,17:39:06
Correct Answer Selected: print(729),17:39:06
Pedagogical Page Close Time,17:39:07
Parte 5,17:39:07
Multiplechoice Page Open Time,17:39:07
Checkbox Selected: comillas '' ,17:39:09
Multiplechoice Page Close Time,17:39:10
Pedagogical Page Open Time,17:39:10
Pedagogical Page Close Time,17:39:10
Parte 6,17:39:10
Pedagogical Page Open Time,17:39:10
Pedagogical Page Close Time,17:39:11

