"Modulo 1, Leccion 1",
Parte 1,18:03:58
Pedagogical Page Open Time,18:03:58
Pedagogical Page Close Time,18:03:59
Multiplechoice Page Open Time,18:03:59
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,18:04:03
Multiplechoice Page Close Time,18:04:04
Parte 2,18:04:04
Pedagogical Page Open Time,18:04:04
Pedagogical Page Close Time,18:04:08
Pedagogical2 Page Open Time,18:04:08
Pedagogical2 Page Close Time,18:04:09
Parte 3,18:04:09
Pedagogical Page Open Time,18:04:09
Pedagogical Page Close Time,18:04:09
Multiplechoice Page Open Time,18:04:09
Multiplechoice Page Close Time,18:04:14
Checkbox Selected: Verdadero,18:04:14
Parte 4,18:04:15
Draganddrop Page Open Time,18:04:15
Correct Answer Selected: print(729),18:04:21
Draganddrop Page Close Time,18:04:22
Pedagogical Page Open Time,18:04:22
Pedagogical Page Close Time,18:04:27
Parte 5,18:04:27
Multiplechoice Page Open Time,18:04:27
Multiplechoice Page Close Time,18:04:32
Pedagogical Page Open Time,18:04:32
Checkbox Selected: comillas '' ,18:04:32
Pedagogical Page Close Time,18:04:33
Parte 6,18:04:33
Pedagogical Page Open Time,18:04:33
Pedagogical Page Close Time,18:04:34

"Modulo 1, Leccion 2",
Parte 1,18:06:44
Pedagogical Page Open Time,18:06:44
Pedagogical Page Close Time,18:06:46
Pedagogical2 Page Open Time,18:06:46
Pedagogical2 Page Close Time,18:06:47
Parte 2,18:06:47
Completeblankspace Page Open Time,18:06:47
Correct Answer Selected: +,18:06:56
Completeblankspace Page Close Time,18:06:57
Pedagogical Page Open Time,18:06:57
Pedagogical Page Close Time,18:06:58
Parte 3,18:06:58
Draganddrop Page Open Time,18:06:58
Correct Answer Selected: print(42 * 3),18:07:03
Draganddrop Page Close Time,18:07:04
Pedagogical Page Open Time,18:07:04
Pedagogical Page Close Time,18:07:05
Parte 4,18:07:05
Multiplechoice Page Open Time,18:07:05
Multiplechoice Page Close Time,18:07:10
Pedagogical Page Open Time,18:07:10
Correct Answer Selected: 4.0,18:07:10
Pedagogical Page Close Time,18:07:11
Parte 5,18:07:11
Draganddrop Page Open Time,18:07:11
Draganddrop Page Close Time,18:07:17
Pedagogical Page Open Time,18:07:17
Correct Answer Selected: Entero:2,18:07:17
Correct Answer Selected: Flotante:3.14,18:07:17
Pedagogical Page Close Time,18:07:18
Parte 6,18:07:18
Pedagogical Page Open Time,18:07:18
Pedagogical Page Close Time,18:07:19
Pedagogical2 Page Open Time,18:07:19
Pedagogical2 Page Close Time,18:07:20
Parte 7,18:07:20
Pedagogical Page Open Time,18:07:20
Pedagogical Page Close Time,18:07:21

"Modulo 1, Leccion 3",
Parte 1,18:07:37
Pedagogical Page Open Time,18:07:37
Pedagogical Page Close Time,18:07:39
Pedagogical2 Page Open Time,18:07:39
Pedagogical2 Page Close Time,18:07:40
Parte 2,18:07:40
Multiplechoice Page Open Time,18:07:40
Multiplechoice Page Close Time,18:07:49
Pedagogical Page Open Time,18:07:49
Checkbox Selected: 'Viernes',18:07:49
Checkbox Selected: 'The Lord of the Rings',18:07:49
Pedagogical Page Close Time,18:07:50
Parte 3,18:07:50
Draganddrop Page Open Time,18:07:50
Correct Drop Event: Water,18:07:58
Correct Drop Event: +,18:07:58
Correct Drop Event: Park,18:07:58
Draganddrop Page Close Time,18:07:59
Pedagogical Page Open Time,18:07:59
Pedagogical Page Close Time,18:08:00
Parte 4,18:08:00
Multiplechoice Page Open Time,18:08:00
Checkbox Selected: '100',18:08:09
Checkbox Selected: 'Manzana',18:08:09
Multiplechoice Page Close Time,18:08:10
Draganddrop Page Open Time,18:08:10
Correct Answer Selected: 100,18:08:19
Correct Answer Selected: 100.00,18:08:19
Correct Answer Selected: 'cien',18:08:19
Draganddrop Page Close Time,18:08:20
Parte 5,18:08:20
Pedagogical Page Open Time,18:08:20
Pedagogical Page Close Time,18:08:21
Pedagogical2 Page Open Time,18:08:21
Pedagogical2 Page Close Time,18:08:22
Parte 6,18:08:22
Pedagogical Page Open Time,18:08:22
Pedagogical Page Close Time,18:08:23

"Modulo 1, Leccion 4",
Parte 1,18:08:35
Pedagogical Page Open Time,18:08:35
Pedagogical Page Close Time,18:08:37
Draganddrop Page Open Time,18:08:37
Correct Answer Selected: Entero,18:08:50
Correct Answer Selected: Flotante,18:08:50
Correct Answer Selected: Cadena,18:08:50
Draganddrop Page Close Time,18:08:51
Parte 2,18:08:51
Pedagogical Page Open Time,18:08:51
Pedagogical Page Close Time,18:08:55
Draganddrop Page Open Time,18:08:55
Correct Drop Event: print('Nosotros somos los campeones amigos'),18:09:12
Correct Drop Event: print('Y seguiremos luchando hasta el final'),18:09:12
Correct Drop Event: print('Somos los campeones'),18:09:12
Draganddrop Page Close Time,18:09:16
Parte 3,18:09:16
Pedagogical Page Open Time,18:09:16
Pedagogical Page Close Time,18:09:31
Completeblankspace Page Open Time,18:09:31
Correct Answer Selected: print,18:09:38
Completeblankspace Page Close Time,18:09:39
Parte 4,18:09:39
Pedagogical Page Open Time,18:09:39
Pedagogical Page Close Time,18:09:40
Draganddrop Page Open Time,18:09:40
Correct Answer Selected: sep,18:09:48
Correct Answer Selected: '-',18:09:48
Draganddrop Page Close Time,18:09:49
Parte 5,18:09:49
Pedagogical Page Open Time,18:09:49
Pedagogical Page Close Time,18:09:53
Draganddrop Page Open Time,18:09:53
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",18:10:06
Draganddrop Page Close Time,18:10:07
Parte 6,18:10:07
Pedagogical Page Open Time,18:10:07
Pedagogical Page Close Time,18:10:08
Pedagogical2 Page Open Time,18:10:08
Pedagogical2 Page Close Time,18:10:08
Parte 7,18:10:08
Pedagogical Page Open Time,18:10:08
Pedagogical Page Close Time,18:10:09
Pedagogical2 Page Open Time,18:10:09
Pedagogical2 Page Close Time,18:10:10

"Modulo 1, Leccion 5",
Parte 1,18:10:27
Pedagogical2 Page Open Time,18:10:27
Pedagogical2 Page Close Time,18:10:28
Parte 2,18:10:28
Pedagogical Page Open Time,18:10:28
Pedagogical Page Close Time,18:10:30
Pedagogical2 Page Open Time,18:10:30
Pedagogical2 Page Close Time,18:10:31
Parte 3,18:10:31
Multiplechoice Page Open Time,18:10:31
Checkbox Selected: valor.,18:10:34
Multiplechoice Page Close Time,18:10:35
Draganddrop Page Open Time,18:10:35
Draganddrop Page Close Time,18:10:45
Correct Drop Event: edad,18:10:45
Correct Drop Event: 18,18:10:45
Parte 4,18:10:46
Pedagogical Page Open Time,18:10:46
Pedagogical Page Close Time,18:10:46
Completeblankspace Page Open Time,18:10:46
Correct Answer Selected: 2028,18:10:54
Completeblankspace Page Close Time,18:10:55
Parte 5,18:10:55
Pedagogical Page Open Time,18:10:55
Pedagogical Page Close Time,18:10:57
Multiplechoice Page Open Time,18:10:57
Checkbox Selected: 24,18:11:04
Multiplechoice Page Close Time,18:11:05
Parte 6,18:11:05
Multiplechoice Page Open Time,18:11:05
Checkbox Selected: 12,18:11:12
Multiplechoice Page Close Time,18:11:13
Pedagogical Page Open Time,18:11:13
Pedagogical Page Close Time,18:11:13
Parte 7,18:11:13
Multiplechoice Page Open Time,18:11:13
Checkbox Selected: un_nombre_variable,18:11:22
Multiplechoice Page Close Time,18:11:23
Pedagogical Page Open Time,18:11:23
Pedagogical Page Close Time,18:11:24
Parte 8,18:11:24
Multiplechoice Page Open Time,18:11:24
Checkbox Selected: Balance: € 200,18:11:33
Multiplechoice Page Close Time,18:11:34
Pedagogical Page Open Time,18:11:34
Pedagogical Page Close Time,18:11:34
Parte 9,18:11:34
Pedagogical Page Open Time,18:11:34
Pedagogical Page Close Time,18:11:35
Pedagogical2 Page Open Time,18:11:35
Pedagogical2 Page Close Time,18:11:36

"Modulo 2, Leccion 1",
Parte 1,11:19:51
Pedagogical Page Open Time,11:19:51
Pedagogical Page Close Time,11:19:58
Pedagogical2 Page Open Time,11:19:58
Pedagogical2 Page Close Time,11:20:00
Parte 2,11:20:00
Draganddrop Page Open Time,11:20:00
Correct Answer Selected: '42',11:20:07
Correct Answer Selected: text,11:20:07
Draganddrop Page Close Time,11:20:08
Pedagogical Page Open Time,11:20:08
Pedagogical Page Close Time,11:20:09
Parte 3,11:20:09
Multiplechoice Page Open Time,11:20:09
Checkbox Selected: una cadena,11:20:17
Multiplechoice Page Close Time,11:20:18
Pedagogical Page Open Time,11:20:18
Pedagogical Page Close Time,11:20:18
Parte 4,11:20:18
Multiplechoice Page Open Time,11:20:18
Checkbox Selected: float(),11:20:28
Checkbox Selected: input(),11:20:33
Multiplechoice Page Close Time,11:20:34
Pedagogical Page Open Time,11:20:34
Pedagogical Page Close Time,11:20:35
Parte 5,11:20:35
Pedagogical Page Open Time,11:20:35
Pedagogical Page Close Time,11:20:36
Pedagogical2 Page Open Time,11:20:36
Pedagogical2 Page Close Time,11:20:37

