"Modulo 1, Leccion 1",
Parte 1,09:05:04
Pedagogical Page Open Time,09:05:04
Pedagogical Page Close Time,09:05:06
Multiplechoice Page Open Time,09:05:06
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:05:08
Multiplechoice Page Close Time,09:05:09
Parte 2,09:05:09
Pedagogical Page Open Time,09:05:09
Pedagogical Page Close Time,09:05:12
Pedagogical2 Page Open Time,09:05:12
Pedagogical2 Page Close Time,09:05:13
Parte 3,09:05:13
Pedagogical Page Open Time,09:05:13
Pedagogical Page Close Time,09:05:13
Multiplechoice Page Open Time,09:05:13
Multiplechoice Page Close Time,09:05:16
Parte 4,09:05:16
Draganddrop Page Open Time,09:05:16
Parte 3,09:05:16
Checkbox Selected: Verdadero,09:05:16
Parte 4,09:05:19
Correct Answer Selected: print(729),09:05:19
Draganddrop Page Close Time,09:05:20
Pedagogical Page Open Time,09:05:20
Pedagogical Page Close Time,09:05:21
Parte 5,09:05:21
Multiplechoice Page Open Time,09:05:21
Checkbox Selected: comillas '' ,09:05:23
Multiplechoice Page Close Time,09:05:24
Pedagogical Page Open Time,09:05:24
Pedagogical Page Close Time,09:05:25
Parte 6,09:05:25
Pedagogical Page Open Time,09:05:25
Pedagogical Page Close Time,09:05:25

