"Modulo 1, Leccion 1",
Parte 1,13:14:07
Pedagogical Page Open Time,13:14:07
Pedagogical Page Close Time,13:14:09
Multiplechoice Page Open Time,13:14:09
Multiplechoice Page Close Time,13:14:11
Parte 2,13:14:11
Pedagogical Page Open Time,13:14:11
Parte 1,13:14:11
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,13:14:11
Pedagogical Page Close Time,13:14:14
Pedagogical2 Page Open Time,13:14:14
Pedagogical2 Page Close Time,13:14:15
Parte 3,13:14:15
Pedagogical Page Open Time,13:14:15
Pedagogical Page Close Time,13:14:15
Multiplechoice Page Open Time,13:14:15
Checkbox Selected: Verdadero,13:14:18
Multiplechoice Page Close Time,13:14:19
Parte 4,13:14:19
Draganddrop Page Open Time,13:14:19
Correct Answer Selected: print(729),13:14:21
Draganddrop Page Close Time,13:14:22
Pedagogical Page Open Time,13:14:22
Pedagogical Page Close Time,13:14:22
Parte 5,13:14:22
Multiplechoice Page Open Time,13:14:22
Multiplechoice Page Close Time,13:14:25
Pedagogical Page Open Time,13:14:25
Checkbox Selected: comillas '' ,13:14:25
Pedagogical Page Close Time,13:14:26
Parte 6,13:14:26
Pedagogical Page Open Time,13:14:26
Pedagogical Page Close Time,13:14:26

