"Modulo 1, Leccion 1",
Parte 1,09:27:16
Pedagogical Page Open Time,09:27:16
Pedagogical Page Close Time,09:27:19
Multiplechoice Page Open Time,09:27:19
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:27:21
Multiplechoice Page Close Time,09:27:24
Parte 2,09:27:24
Pedagogical Page Open Time,09:27:24
Pedagogical Page Close Time,09:27:29
Pedagogical2 Page Open Time,09:27:29
Pedagogical2 Page Close Time,09:27:30
Parte 3,09:27:30
Pedagogical Page Open Time,09:27:30
Pedagogical Page Close Time,09:27:31
Multiplechoice Page Open Time,09:27:31
Checkbox Selected: Verdadero,09:27:33
Multiplechoice Page Close Time,09:27:34
Parte 4,09:27:34
Draganddrop Page Open Time,09:27:34
Draganddrop Page Close Time,09:27:37
Pedagogical Page Open Time,09:27:37
Correct Answer Selected: print(729),09:27:37
Pedagogical Page Close Time,09:27:38
Parte 5,09:27:38
Multiplechoice Page Open Time,09:27:38
Checkbox Selected: comillas '' ,09:27:41
Multiplechoice Page Close Time,09:27:42
Pedagogical Page Open Time,09:27:42
Pedagogical Page Close Time,09:27:42
Parte 6,09:27:42
Pedagogical Page Open Time,09:27:42
Pedagogical Page Close Time,09:27:43

