"Modulo 1, Leccion 1",
Parte 1,10:44:36
Pedagogical Page Open Time,10:44:36
Pedagogical Page Close Time,10:44:38
Multiplechoice Page Open Time,10:44:38
Multiplechoice Page Close Time,10:44:40
Parte 2,10:44:40
Pedagogical Page Open Time,10:44:40
Parte 1,10:44:40
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,10:44:40
Pedagogical Page Close Time,10:44:44
Pedagogical2 Page Open Time,10:44:44
Pedagogical2 Page Close Time,10:44:44
Parte 3,10:44:44
Pedagogical Page Open Time,10:44:44
Pedagogical Page Close Time,10:44:45
Multiplechoice Page Open Time,10:44:45
Checkbox Selected: Verdadero,10:44:47
Multiplechoice Page Close Time,10:44:48
Parte 4,10:44:48
Draganddrop Page Open Time,10:44:48
Draganddrop Page Close Time,10:44:51
Pedagogical Page Open Time,10:44:51
Correct Answer Selected: print(729),10:44:51
Pedagogical Page Close Time,10:44:52
Parte 5,10:44:52
Multiplechoice Page Open Time,10:44:52
Checkbox Selected: comillas '' ,10:44:54
Multiplechoice Page Close Time,10:44:55
Pedagogical Page Open Time,10:44:55
Pedagogical Page Close Time,10:44:55
Parte 6,10:44:55
Pedagogical Page Open Time,10:44:55
Pedagogical Page Close Time,10:44:56

"Modulo 1, Leccion 2",
Parte 1,10:45:07
Pedagogical Page Open Time,10:45:07
Pedagogical Page Close Time,10:45:08
Pedagogical2 Page Open Time,10:45:08
Pedagogical2 Page Close Time,10:45:09
Parte 2,10:45:09
Completeblankspace Page Open Time,10:45:09
Completeblankspace Page Close Time,10:45:14
Pedagogical Page Open Time,10:45:14
Pedagogical Page Close Time,10:45:14
Parte 3,10:45:14
Draganddrop Page Open Time,10:45:14
Parte 2,10:45:14
Correct Answer Selected: +,10:45:14
Draganddrop Page Close Time,10:45:18
Pedagogical Page Open Time,10:45:18
Parte 3,10:45:18
Correct Answer Selected: print(42 * 3),10:45:18
Pedagogical Page Close Time,10:45:19
Parte 4,10:45:19
Multiplechoice Page Open Time,10:45:19
Correct Answer Selected: 4.0,10:45:21
Multiplechoice Page Close Time,10:45:24
Pedagogical Page Open Time,10:45:24
Pedagogical Page Close Time,10:45:25
Parte 5,10:45:25
Draganddrop Page Open Time,10:45:25
Correct Answer Selected: Entero:2,10:45:29
Correct Answer Selected: Flotante:3.14,10:45:29
Draganddrop Page Close Time,10:45:30
Pedagogical Page Open Time,10:45:30
Pedagogical Page Close Time,10:45:30
Parte 6,10:45:30
Pedagogical Page Open Time,10:45:30
Pedagogical Page Close Time,10:45:31
Pedagogical2 Page Open Time,10:45:31
Pedagogical2 Page Close Time,10:45:31
Parte 7,10:45:31
Pedagogical Page Open Time,10:45:31
Pedagogical Page Close Time,10:45:32

"Modulo 1, Leccion 3",
Parte 1,10:45:39
Pedagogical Page Open Time,10:45:39
Pedagogical Page Close Time,10:45:40
Pedagogical2 Page Open Time,10:45:40
Pedagogical2 Page Close Time,10:45:42
Parte 2,10:45:42
Multiplechoice Page Open Time,10:45:42
Checkbox Selected: 'Viernes',10:45:45
Checkbox Selected: 'The Lord of the Rings',10:45:45
Multiplechoice Page Close Time,10:45:46
Pedagogical Page Open Time,10:45:46
Pedagogical Page Close Time,10:45:46
Parte 3,10:45:46
Draganddrop Page Open Time,10:45:46
Draganddrop Page Close Time,10:45:51
Pedagogical Page Open Time,10:45:51
Correct Drop Event: Water,10:45:51
Correct Drop Event: +,10:45:51
Correct Drop Event: Park,10:45:51
Pedagogical Page Close Time,10:45:52
Parte 4,10:45:52
Multiplechoice Page Open Time,10:45:52
Checkbox Selected: '100',10:45:56
Checkbox Selected: 'Manzana',10:45:56
Multiplechoice Page Close Time,10:45:57
Draganddrop Page Open Time,10:45:57
Draganddrop Page Close Time,10:46:06
Parte 5,10:46:06
Pedagogical Page Open Time,10:46:06
Pedagogical Page Close Time,10:46:06
Pedagogical2 Page Open Time,10:46:06
Correct Answer Selected: 100,10:46:06
Correct Answer Selected: 100.00,10:46:06
Correct Answer Selected: 'cien',10:46:06
Pedagogical2 Page Close Time,10:46:07
Parte 6,10:46:07
Pedagogical Page Open Time,10:46:07
Pedagogical Page Close Time,10:46:07

"Modulo 1, Leccion 4",
Parte 1,10:46:14
Pedagogical Page Open Time,10:46:14
Pedagogical Page Close Time,10:46:15
Draganddrop Page Open Time,10:46:15
Draganddrop Page Close Time,10:46:21
Parte 2,10:46:21
Pedagogical Page Open Time,10:46:21
Correct Answer Selected: Entero,10:46:21
Correct Answer Selected: Flotante,10:46:21
Correct Answer Selected: Cadena,10:46:21
Pedagogical Page Close Time,10:46:22
Draganddrop Page Open Time,10:46:22
Draganddrop Page Close Time,10:46:27
Parte 3,10:46:27
Pedagogical Page Open Time,10:46:27
Correct Drop Event: print('Nosotros somos los campeones amigos'),10:46:27
Correct Drop Event: print('Y seguiremos luchando hasta el final'),10:46:27
Correct Drop Event: print('Somos los campeones'),10:46:27
Pedagogical Page Close Time,10:46:28
Completeblankspace Page Open Time,10:46:28
Correct Answer Selected: print,10:46:33
Completeblankspace Page Close Time,10:46:34
Parte 4,10:46:34
Pedagogical Page Open Time,10:46:34
Pedagogical Page Close Time,10:46:34
Draganddrop Page Open Time,10:46:34
Draganddrop Page Close Time,10:46:39
Parte 5,10:46:39
Pedagogical Page Open Time,10:46:39
Correct Answer Selected: sep,10:46:39
Correct Answer Selected: '-',10:46:39
Pedagogical Page Close Time,10:46:40
Draganddrop Page Open Time,10:46:40
Draganddrop Page Close Time,10:46:44
Parte 6,10:46:44
Pedagogical Page Open Time,10:46:44
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",10:46:44
Pedagogical Page Close Time,10:46:45
Pedagogical2 Page Open Time,10:46:45
Pedagogical2 Page Close Time,10:46:46
Parte 7,10:46:46
Pedagogical Page Open Time,10:46:46
Pedagogical Page Close Time,10:46:46
Pedagogical2 Page Open Time,10:46:46
Pedagogical2 Page Close Time,10:46:47

"Modulo 1, Leccion 5",
Parte 1,10:46:50
Pedagogical2 Page Open Time,10:46:50
Pedagogical2 Page Close Time,10:46:51
Parte 2,10:46:51
Pedagogical Page Open Time,10:46:51
Pedagogical Page Close Time,10:46:52
Pedagogical2 Page Open Time,10:46:52
Pedagogical2 Page Close Time,10:46:53
Parte 3,10:46:53
Multiplechoice Page Open Time,10:46:53
Multiplechoice Page Close Time,10:46:55
Draganddrop Page Open Time,10:46:55
Checkbox Selected: valor.,10:46:55
Draganddrop Page Close Time,10:46:59
Parte 4,10:46:59
Pedagogical Page Open Time,10:46:59
Correct Drop Event: edad,10:46:59
Correct Drop Event: 18,10:46:59
Pedagogical Page Close Time,10:47:00
