"Modulo 1, Leccion 1",
Parte 1,11:42:24
Pedagogical Page Open Time,11:42:24
Pedagogical Page Close Time,11:42:25
Multiplechoice Page Open Time,11:42:25
Multiplechoice Page Close Time,11:42:28
Parte 2,11:42:28
Pedagogical Page Open Time,11:42:28
Parte 1,11:42:28
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,11:42:28
Pedagogical Page Close Time,11:42:31
Pedagogical2 Page Open Time,11:42:31
Pedagogical2 Page Close Time,11:42:32
Parte 3,11:42:32
Pedagogical Page Open Time,11:42:32
Pedagogical Page Close Time,11:42:32
Multiplechoice Page Open Time,11:42:32
Checkbox Selected: Verdadero,11:42:35
Multiplechoice Page Close Time,11:42:36
Parte 4,11:42:36
Draganddrop Page Open Time,11:42:36
Correct Answer Selected: print(729),11:42:38
Draganddrop Page Close Time,11:42:39
Pedagogical Page Open Time,11:42:39
Pedagogical Page Close Time,11:42:40
Parte 5,11:42:40
Multiplechoice Page Open Time,11:42:40
Multiplechoice Page Close Time,11:42:44
Pedagogical Page Open Time,11:42:44
Checkbox Selected: comillas '' ,11:42:44
Pedagogical Page Close Time,11:42:45
Parte 6,11:42:45
Pedagogical Page Open Time,11:42:45
Pedagogical Page Close Time,11:42:45

