"Modulo 1, Leccion 1",
Parte 1,09:44:27
Pedagogical Page Open Time,09:44:27
Pedagogical Page Close Time,09:44:29
Multiplechoice Page Open Time,09:44:29
Multiplechoice Page Close Time,09:44:31
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,09:44:31
Parte 2,09:44:32
Pedagogical Page Open Time,09:44:32
Pedagogical Page Close Time,09:44:35
Pedagogical2 Page Open Time,09:44:35
Pedagogical2 Page Close Time,09:44:36
Parte 3,09:44:36
Pedagogical Page Open Time,09:44:36
Pedagogical Page Close Time,09:44:37
Multiplechoice Page Open Time,09:44:37
Checkbox Selected: Verdadero,09:44:39
Multiplechoice Page Close Time,09:44:40
Parte 4,09:44:40
Draganddrop Page Open Time,09:44:40
Draganddrop Page Close Time,09:44:43
Pedagogical Page Open Time,09:44:43
Correct Answer Selected: print(729),09:44:43
Pedagogical Page Close Time,09:44:44
Parte 5,09:44:44
Multiplechoice Page Open Time,09:44:44
Checkbox Selected: comillas '' ,09:44:46
Multiplechoice Page Close Time,09:44:47
Pedagogical Page Open Time,09:44:47
Pedagogical Page Close Time,09:44:48
Parte 6,09:44:48
Pedagogical Page Open Time,09:44:48
Pedagogical Page Close Time,09:44:48

