"Modulo 1, Leccion 1",
Parte 1,18:41:06
Pedagogical Page Open Time,18:41:06
Pedagogical Page Close Time,18:41:11
Multiplechoice Page Open Time,18:41:11
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,18:41:17
Multiplechoice Page Close Time,18:41:19
Parte 2,18:41:19
Pedagogical Page Open Time,18:41:19
Pedagogical Page Close Time,18:41:21
Pedagogical2 Page Open Time,18:41:21
Pedagogical2 Page Close Time,18:41:22
Parte 3,18:41:22
Pedagogical Page Open Time,18:41:22
Pedagogical Page Close Time,18:41:22
Multiplechoice Page Open Time,18:41:22
Checkbox Selected: Verdadero,18:41:25
Multiplechoice Page Close Time,18:41:26
Parte 4,18:41:26
Draganddrop Page Open Time,18:41:26
Incorrect Answer Selected: <Espacio para respuesta>(729),18:41:26
Correct Answer Selected: print(729),18:41:31
Draganddrop Page Close Time,18:41:32
Pedagogical Page Open Time,18:41:32
Pedagogical Page Close Time,18:41:33
Parte 5,18:41:33
Multiplechoice Page Open Time,18:41:33
Checkbox Selected: comillas '' ,18:41:37
Multiplechoice Page Close Time,18:41:38
Pedagogical Page Open Time,18:41:38
Pedagogical Page Close Time,18:41:39
Parte 6,18:41:39
Pedagogical Page Open Time,18:41:39
Pedagogical Page Close Time,18:41:39

"Modulo 1, Leccion 2",
Parte 1,18:43:57
Pedagogical Page Open Time,18:43:57
Pedagogical Page Close Time,18:43:59
Pedagogical2 Page Open Time,18:43:59
Pedagogical2 Page Close Time,18:44:05
Parte 2,18:44:05
Completeblankspace Page Open Time,18:44:05
Correct Answer Selected: +,18:44:08
Completeblankspace Page Close Time,18:44:12
Pedagogical Page Open Time,18:44:12
Pedagogical Page Close Time,18:44:13
Parte 3,18:44:13
Draganddrop Page Open Time,18:44:13
Correct Answer Selected: print(42 * 3),18:44:16
Draganddrop Page Close Time,18:44:20
Pedagogical Page Open Time,18:44:20
Pedagogical Page Close Time,18:44:21
Parte 4,18:44:21
Multiplechoice Page Open Time,18:44:21
Correct Answer Selected: 4.0,18:44:23
Multiplechoice Page Close Time,18:44:24
Pedagogical Page Open Time,18:44:24
Pedagogical Page Close Time,18:44:24
Parte 5,18:44:24
Draganddrop Page Open Time,18:44:24
Correct Answer Selected: Entero:2,18:44:29
Correct Answer Selected: Flotante:3.14,18:44:29
Draganddrop Page Close Time,18:44:31
Pedagogical Page Open Time,18:44:31
Pedagogical Page Close Time,18:44:31
Parte 6,18:44:31
Pedagogical Page Open Time,18:44:31
Pedagogical Page Close Time,18:44:32
Pedagogical2 Page Open Time,18:44:32
Pedagogical2 Page Close Time,18:44:32
Parte 7,18:44:32
Pedagogical Page Open Time,18:44:32
Pedagogical Page Close Time,18:44:33

"Modulo 1, Leccion 3",
Parte 1,18:44:39
Pedagogical Page Open Time,18:44:39
Pedagogical Page Close Time,18:44:42
Pedagogical2 Page Open Time,18:44:42
Pedagogical2 Page Close Time,18:44:43
Parte 2,18:44:43
Multiplechoice Page Open Time,18:44:43
Multiplechoice Page Close Time,18:44:47
Pedagogical Page Open Time,18:44:47
Checkbox Selected: 'Viernes',18:44:47
Checkbox Selected: 'The Lord of the Rings',18:44:47
Pedagogical Page Close Time,18:44:48
Parte 3,18:44:48
Draganddrop Page Open Time,18:44:48
Correct Drop Event: Water,18:44:54
Correct Drop Event: +,18:44:54
Correct Drop Event: Park,18:44:54
Draganddrop Page Close Time,18:44:55
Pedagogical Page Open Time,18:44:55
Pedagogical Page Close Time,18:44:57
Parte 4,18:44:57
Multiplechoice Page Open Time,18:44:57
Multiplechoice Page Close Time,18:45:02
Draganddrop Page Open Time,18:45:02
Checkbox Selected: '100',18:45:02
Checkbox Selected: 'Manzana',18:45:02
Draganddrop Page Close Time,18:45:11
Parte 5,18:45:11
Pedagogical Page Open Time,18:45:11
Correct Answer Selected: 100,18:45:11
Correct Answer Selected: 100.00,18:45:11
Correct Answer Selected: 'cien',18:45:11
Pedagogical Page Close Time,18:45:12
Pedagogical2 Page Open Time,18:45:12
Pedagogical2 Page Close Time,18:45:12
Parte 6,18:45:12
Pedagogical Page Open Time,18:45:12
Pedagogical Page Close Time,18:45:13

