"Modulo 1, Leccion 1",
Parte 1,18:17:50
Pedagogical Page Open Time,18:17:50
Pedagogical Page Close Time,18:17:53
Multiplechoice Page Open Time,18:17:53
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,18:17:56
Multiplechoice Page Close Time,18:17:57
Parte 2,18:17:57
Pedagogical Page Open Time,18:17:57
Pedagogical Page Close Time,18:17:59
Pedagogical2 Page Open Time,18:17:59
Pedagogical2 Page Close Time,18:18:00
Parte 3,18:18:00
Pedagogical Page Open Time,18:18:00
Pedagogical Page Close Time,18:18:00
Multiplechoice Page Open Time,18:18:00
Multiplechoice Page Close Time,18:18:03
Parte 4,18:18:03
Draganddrop Page Open Time,18:18:03
Parte 3,18:18:03
Checkbox Selected: Verdadero,18:18:03
Draganddrop Page Close Time,18:18:10
Pedagogical Page Open Time,18:18:10
Parte 4,18:18:10
Correct Answer Selected: print(729),18:18:10
Pedagogical Page Close Time,18:18:11
Parte 5,18:18:11
Multiplechoice Page Open Time,18:18:11
Checkbox Selected: comillas '' ,18:18:13
Multiplechoice Page Close Time,18:18:14
Pedagogical Page Open Time,18:18:14
Pedagogical Page Close Time,18:18:14
Parte 6,18:18:14
Pedagogical Page Open Time,18:18:14
Pedagogical Page Close Time,18:18:15

